rung,description,features_added,features_total,fold,train_seasons,test_season,train_matches,test_matches,design_columns,newton_iterations,gradient_norm,imputed_cells,constant_columns,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps,train_log_loss,generalisation_gap
B0,base rate,0,0,1,2021-2022,2022-2023,380,380,0,5,3.1752378504279477e-14,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700838,0.23006925207756235,1.068585140698747,-0.013934656092711606
B0,base rate,0,0,2,2021-2022 + 2022-2023,2023-2024,760,380,0,5,2.779998453661392e-13,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171665,0.63691481994459831,0.23374047783933521,1.0596951906330268,-0.0059388079158602114
B0,base rate,0,0,3,2021-2022 + 2022-2023 + 2023-2024,2024-2025,1140,380,0,5,3.6265435099380738e-13,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441044,0.23583140966451213,1.0576432101157527,0.024997061491196959
B0,base rate,0,0,4,2021-2022 + 2022-2023 + 2023-2024 + 2024-2025,2025-2026,1520,380,0,5,6.2660987509843835e-13,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.08450287668523,0.65619373268698056,0.22776359072022162,1.0635767463180412,0.020926130367188822
B1,+ Phase 1 results-only features,86,86,1,2021-2022,2022-2023,380,380,88,9,1.9373391779708982e-14,9762,29,0.48421052631578948,0.42660244801146829,0.41214109347442679,1.1061351228428846,0.64255891187473946,0.22295963820990908,0.87896730917347821,0.22716781366940642
B1,+ Phase 1 results-only features,86,86,2,2021-2022 + 2022-2023,2023-2024,760,380,88,7,7.0541350538633196e-12,11468,4,0.51842105263157889,0.42062717770034846,0.39182425263683451,1.0476573676145506,0.61199960305840928,0.21194442345855519,0.92082670787698884,0.1268306597375618
B1,+ Phase 1 results-only features,86,86,3,2021-2022 + 2022-2023 + 2023-2024,2024-2025,1140,380,88,6,8.5772527969041334e-11,13170,4,0.47368421052631576,0.41599869664385797,0.38045032904721499,1.0371738410610605,0.62064167159700079,0.21420258269584447,0.92825963091981978,0.1089142101412407
B1,+ Phase 1 results-only features,86,86,4,2021-2022 + 2022-2023 + 2023-2024 + 2024-2025,2025-2026,1520,380,88,6,2.7452570598718307e-11,14872,2,0.48684210526315791,0.43060345545725665,0.37224319789044708,1.0764417525508021,0.64563173740436097,0.21867726421582587,0.93916410125009764,0.13727765130070446
B2,+ Block C context,12,98,1,2021-2022,2022-2023,380,380,108,10,1.3961054534661343e-14,9822,29,0.45000000000000001,0.39931219405587726,0.38680273386818603,1.1841334813800015,0.68300079317307039,0.24272669037114961,0.8411988973545802,0.34293458402542132
B2,+ Block C context,12,98,2,2021-2022 + 2022-2023,2023-2024,760,380,108,7,1.9197421430305894e-11,11558,4,0.51578947368421058,0.4271080139372822,0.41269049994666057,1.0715608896349988,0.62379550633571168,0.21651886284249147,0.90458449951069486,0.16697639012430399
B2,+ Block C context,12,98,3,2021-2022 + 2022-2023 + 2023-2024,2024-2025,1140,380,108,6,1.2475281918611358e-10,13290,4,0.48157894736842105,0.42743564679048546,0.40384294068504595,1.0519055968324085,0.62669193063611961,0.21481258170737241,0.91767258731174239,0.13423300952066608
B2,+ Block C context,12,98,4,2021-2022 + 2022-2023 + 2023-2024 + 2024-2025,2025-2026,1520,380,108,6,3.4753928034036985e-11,15022,2,0.46052631578947367,0.40801344529414701,0.35448937409721726,1.0986421496690832,0.65912886415034944,0.22263071585630997,0.93129063003910939,0.16735151962997385
B3,"+ prior_attack, prior_defence",6,104,1,2021-2022,2022-2023,380,380,114,10,1.4599432773820809e-14,12546,35,0.45000000000000001,0.39931219405587726,0.38680273386818603,1.1841334813800015,0.68300079317307039,0.24272669037114966,0.84119889735458042,0.3429345840254211
B3,"+ prior_attack, prior_defence",6,104,2,2021-2022 + 2022-2023,2023-2024,760,380,114,7,5.6542270865378441e-11,14726,4,0.52368421052631575,0.45197057684862568,0.44889029803424224,1.1149520662707553,0.64183307366897802,0.22017535787816231,0.89434945463083149,0.22060261163992378
B3,"+ prior_attack, prior_defence",6,104,3,2021-2022 + 2022-2023 + 2023-2024,2024-2025,1140,380,114,6,2.6580704304279834e-10,16902,4,0.47105263157894739,0.42743564679048546,0.41756111169229698,1.0375157884041522,0.61913948097014859,0.21067131403711414,0.91357085767472956,0.12394493072942259
B3,"+ prior_attack, prior_defence",6,104,4,2021-2022 + 2022-2023 + 2023-2024 + 2024-2025,2025-2026,1520,380,114,6,6.4232877697301127e-11,19078,2,0.4631578947368421,0.41524633045100878,0.36983355787083522,1.1172280584097396,0.66817189626463058,0.22500323964367105,0.92524293269843894,0.19198512571130066
B4,+ prior_venue_split,3,107,1,2021-2022,2022-2023,380,380,117,10,1.3516965324811281e-14,13908,38,0.45000000000000001,0.39931219405587726,0.38680273386818603,1.1841334813800015,0.68300079317307039,0.24272669037114966,0.8411988973545802,0.34293458402542132
B4,+ prior_venue_split,3,107,2,2021-2022 + 2022-2023,2023-2024,760,380,117,7,6.2249538856917752e-11,16310,4,0.5,0.42648083623693384,0.42062119781911028,1.1382084106989969,0.65298607336047843,0.2242205964755912,0.89096524602133242,0.2472431646776645
B4,+ prior_venue_split,3,107,3,2021-2022 + 2022-2023 + 2023-2024,2024-2025,1140,380,117,6,3.0012467511220109e-10,18708,4,0.47631578947368419,0.43497882046269143,0.42638418550926471,1.0424346037881242,0.62106647869928244,0.21137549057447655,0.91280366794147172,0.12963093584665253
B4,+ prior_venue_split,3,107,4,2021-2022 + 2022-2023 + 2023-2024 + 2024-2025,2025-2026,1520,380,117,6,6.0007564889330567e-11,21106,2,0.46578947368421053,0.41817030705919594,0.37284530566973312,1.1188278230186774,0.66863561498342228,0.22506929410792628,0.92479420672791668,0.19403361629076077
B5,"+ prior_finishing, keeping, control",9,116,1,2021-2022,2022-2023,380,380,126,10,1.0436096431476471e-14,17994,47,0.45000000000000001,0.39931219405587726,0.38680273386818603,1.1841334813800015,0.68300079317307039,0.24272669037114966,0.8411988973545802,0.34293458402542132
B5,"+ prior_finishing, keeping, control",9,116,2,2021-2022 + 2022-2023,2023-2024,760,380,126,7,1.1461775972776422e-10,21062,4,0.46842105263157896,0.40908246225319395,0.40531011448345899,1.2255045320414151,0.69216860642770361,0.23935160199909405,0.87681485412229621,0.34868967791911887
B5,"+ prior_finishing, keeping, control",9,116,3,2021-2022 + 2022-2023 + 2023-2024,2024-2025,1140,380,126,6,5.3616835971048715e-10,24126,4,0.45000000000000001,0.41645487129358094,0.40967426532263262,1.1105223025001021,0.65628025917005539,0.22625769152898773,0.90480341259544894,0.20571888990465315
B5,"+ prior_finishing, keeping, control",9,116,4,2021-2022 + 2022-2023 + 2023-2024 + 2024-2025,2025-2026,1520,380,126,6,1.3054723881772423e-10,27190,2,0.43947368421052629,0.39527623665050565,0.35902861700623823,1.1187065762356088,0.6674060705172532,0.22398774662359491,0.92072465953197202,0.19798191670363674
B6,"+ prior_discipline, rotation",6,122,1,2021-2022,2022-2023,380,380,132,10,1.0588752097362431e-14,20718,53,0.45000000000000001,0.39931219405587726,0.38680273386818603,1.1841334813800015,0.68300079317307039,0.24272669037114961,0.8411988973545802,0.34293458402542132
B6,"+ prior_discipline, rotation",6,122,2,2021-2022 + 2022-2023,2023-2024,760,380,132,7,2.6875379699475843e-10,24230,4,0.46052631578947367,0.41497483546264036,0.41251364744916769,1.2690465293892377,0.71283914642247537,0.2453937718027201,0.86787612417007332,0.40117040521916436
B6,"+ prior_discipline, rotation",6,122,3,2021-2022 + 2022-2023 + 2023-2024,2024-2025,1140,380,132,6,8.3146420304380797e-10,27738,4,0.44736842105263158,0.41287064190289996,0.40606595420459346,1.1425900953659573,0.67162081551481434,0.23050379524032383,0.89736849721655021,0.24522159814940714
B6,"+ prior_discipline, rotation",6,122,4,2021-2022 + 2022-2023 + 2023-2024 + 2024-2025,2025-2026,1520,380,132,6,2.3705490261732853e-10,31246,2,0.44210526315789472,0.39962887989203777,0.36897655568267762,1.1267001328574371,0.67129358712018361,0.2238963715959468,0.9173690802137564,0.20933105264368068
