rung,fold,lambda,lambda_label,is_selected,block,design_columns,block_l2_norm,block_l2_norm_per_column
B1,1,100,lam=100,False,phase1_backbone,88,0.39642561059081977,0.042259112079836521
B1,1,300,lam=300,False,phase1_backbone,88,0.23414164540651236,0.02495958326467488
B1,1,1000,lam=1000,True,phase1_backbone,88,0.13340070734353238,0.014220563183993121
B1,1,3000,lam=3000,False,phase1_backbone,88,0.073746479099944487,0.0078614010864061085
B1,1,10000,lam=10000,False,phase1_backbone,88,0.030789913512467494,0.0032822158086926794
B1,2,100,lam=100,False,phase1_backbone,88,0.41863917573478726,0.044627086080589462
B1,2,300,lam=300,True,phase1_backbone,88,0.26014833737674331,0.027731905943721349
B1,2,1000,lam=1000,False,phase1_backbone,88,0.15958468816376997,0.017011784917951231
B1,2,3000,lam=3000,False,phase1_backbone,88,0.10098788057286136,0.010765344240684437
B1,2,10000,lam=10000,False,phase1_backbone,88,0.050497136944446977,0.0053830128852317277
B1,3,100,lam=100,False,phase1_backbone,88,0.41751161906474166,0.04450688813569683
B1,3,300,lam=300,True,phase1_backbone,88,0.27767057619997365,0.029599782878354748
B1,3,1000,lam=1000,False,phase1_backbone,88,0.18057865631915207,0.0192497494428884
B1,3,3000,lam=3000,False,phase1_backbone,88,0.12231061566889688,0.013038355439252282
B1,3,10000,lam=10000,False,phase1_backbone,88,0.068248846411248232,0.0072753514726610772
B1,4,100,lam=100,False,phase1_backbone,88,0.44239921868520909,0.047159915169424464
B1,4,300,lam=300,True,phase1_backbone,88,0.29880132111318131,0.031852327854666518
B1,4,1000,lam=1000,False,phase1_backbone,88,0.19768281333582552,0.021073058707195211
B1,4,3000,lam=3000,False,phase1_backbone,88,0.13630760614642423,0.014530439637568027
B1,4,10000,lam=10000,False,phase1_backbone,88,0.08023792281153258,0.0085533913111524602
B2,1,100,lam=100,False,phase1_backbone,88,0.38266412866532351,0.040792133177521228
B2,1,100,lam=100,False,C_context,20,0.26379012957614945,0.058985266152574795
B2,1,300,lam=300,False,phase1_backbone,88,0.22759595111791206,0.024261809908987672
B2,1,300,lam=300,False,C_context,20,0.14451298962254869,0.032314086842774051
B2,1,1000,lam=1000,False,phase1_backbone,88,0.13214942814960792,0.014087176373740339
B2,1,1000,lam=1000,False,C_context,20,0.060356173799577847,0.013496050747764783
B2,1,3000,lam=3000,True,phase1_backbone,88,0.073607044860032,0.007846537346489187
B2,1,3000,lam=3000,True,C_context,20,0.023337006971868707,0.0052183133980484948
B2,1,10000,lam=10000,False,phase1_backbone,88,0.030778625481895631,0.003281012500590597
B2,1,10000,lam=10000,False,C_context,20,0.0074664106148662314,0.0016695401682766894
B2,2,100,lam=100,False,phase1_backbone,88,0.40540075551996863,0.043215865743981501
B2,2,100,lam=100,False,C_context,20,0.24790650586011032,0.05543357991676566
