rung,fold,inner_fold,lambda,lambda_label,inner_train_matches,inner_valid_matches,inner_train_max_date,inner_valid_min_date,inner_val_log_loss,inner_val_rps,inner_val_accuracy,constant_columns
B0,1,1,100,lam=100,97,93,2021-10-30,2021-10-31,1.0885001711974416,0.23445522875032712,0.26881720430107525,0
B0,1,2,100,lam=100,190,95,2022-01-02,2022-01-03,1.0703976174845642,0.24512465373961215,0.40000000000000002,0
B0,1,3,100,lam=100,285,95,2022-03-18,2022-03-19,1.0524882276594545,0.23466912896275771,0.48421052631578948,0
B0,1,1,300,lam=300,97,93,2021-10-30,2021-10-31,1.0885001711974416,0.23445522875032712,0.26881720430107525,0
B0,1,2,300,lam=300,190,95,2022-01-02,2022-01-03,1.0703976174845642,0.24512465373961215,0.40000000000000002,0
B0,1,3,300,lam=300,285,95,2022-03-18,2022-03-19,1.0524882276594545,0.23466912896275771,0.48421052631578948,0
B0,1,1,1000,lam=1000,97,93,2021-10-30,2021-10-31,1.0885001711974416,0.23445522875032712,0.26881720430107525,0
B0,1,2,1000,lam=1000,190,95,2022-01-02,2022-01-03,1.0703976174845642,0.24512465373961215,0.40000000000000002,0
B0,1,3,1000,lam=1000,285,95,2022-03-18,2022-03-19,1.0524882276594545,0.23466912896275771,0.48421052631578948,0
B0,1,1,3000,lam=3000,97,93,2021-10-30,2021-10-31,1.0885001711974416,0.23445522875032712,0.26881720430107525,0
B0,1,2,3000,lam=3000,190,95,2022-01-02,2022-01-03,1.0703976174845642,0.24512465373961215,0.40000000000000002,0
B0,1,3,3000,lam=3000,285,95,2022-03-18,2022-03-19,1.0524882276594545,0.23466912896275771,0.48421052631578948,0
B0,1,1,10000,lam=10000,97,93,2021-10-30,2021-10-31,1.0885001711974416,0.23445522875032712,0.26881720430107525,0
B0,1,2,10000,lam=10000,190,95,2022-01-02,2022-01-03,1.0703976174845642,0.24512465373961215,0.40000000000000002,0
B0,1,3,10000,lam=10000,285,95,2022-03-18,2022-03-19,1.0524882276594545,0.23466912896275771,0.48421052631578948,0
B0,2,1,100,lam=100,190,190,2022-01-02,2022-01-03,1.0616034585958307,0.23925207756232689,0.44210526315789472,0
B0,2,2,100,lam=100,380,189,2022-05-22,2022-08-05,1.0551922393190374,0.23233980418883468,0.47089947089947087,0
B0,2,3,100,lam=100,569,191,2023-01-19,2023-01-21,1.050051360599261,0.22624004802456649,0.49738219895287961,0
B0,2,1,300,lam=300,190,190,2022-01-02,2022-01-03,1.0616034585958307,0.23925207756232689,0.44210526315789472,0
B0,2,2,300,lam=300,380,189,2022-05-22,2022-08-05,1.0551922393190374,0.23233980418883468,0.47089947089947087,0
B0,2,3,300,lam=300,569,191,2023-01-19,2023-01-21,1.050051360599261,0.22624004802456649,0.49738219895287961,0
B0,2,1,1000,lam=1000,190,190,2022-01-02,2022-01-03,1.0616034585958307,0.23925207756232689,0.44210526315789472,0
B0,2,2,1000,lam=1000,380,189,2022-05-22,2022-08-05,1.0551922393190374,0.23233980418883468,0.47089947089947087,0
B0,2,3,1000,lam=1000,569,191,2023-01-19,2023-01-21,1.050051360599261,0.22624004802456649,0.49738219895287961,0
B0,2,1,3000,lam=3000,190,190,2022-01-02,2022-01-03,1.0616034585958307,0.23925207756232689,0.44210526315789472,0
B0,2,2,3000,lam=3000,380,189,2022-05-22,2022-08-05,1.0551922393190374,0.23233980418883468,0.47089947089947087,0
B0,2,3,3000,lam=3000,569,191,2023-01-19,2023-01-21,1.050051360599261,0.22624004802456649,0.49738219895287961,0
B0,2,1,10000,lam=10000,190,190,2022-01-02,2022-01-03,1.0616034585958307,0.23925207756232689,0.44210526315789472,0
B0,2,2,10000,lam=10000,380,189,2022-05-22,2022-08-05,1.0551922393190374,0.23233980418883468,0.47089947089947087,0
B0,2,3,10000,lam=10000,569,191,2023-01-19,2023-01-21,1.050051360599261,0.22624004802456649,0.49738219895287961,0
B0,3,1,100,lam=100,285,284,2022-03-18,2022-03-19,1.0568808524532292,0.23403682173063001,0.47535211267605632,0
B0,3,2,100,lam=100,569,286,2023-01-19,2023-01-21,1.0535436242878471,0.23016424011988637,0.47552447552447552,0
B0,3,3,100,lam=100,855,285,2023-10-28,2023-10-29,1.0506906898461825,0.23208713792277963,0.47017543859649125,0
B0,3,1,300,lam=300,285,284,2022-03-18,2022-03-19,1.0568808524532292,0.23403682173063001,0.47535211267605632,0
B0,3,2,300,lam=300,569,286,2023-01-19,2023-01-21,1.0535436242878471,0.23016424011988637,0.47552447552447552,0
B0,3,3,300,lam=300,855,285,2023-10-28,2023-10-29,1.0506906898461825,0.23208713792277963,0.47017543859649125,0
B0,3,1,1000,lam=1000,285,284,2022-03-18,2022-03-19,1.0568808524532292,0.23403682173063001,0.47535211267605632,0
B0,3,2,1000,lam=1000,569,286,2023-01-19,2023-01-21,1.0535436242878471,0.23016424011988637,0.47552447552447552,0
B0,3,3,1000,lam=1000,855,285,2023-10-28,2023-10-29,1.0506906898461825,0.23208713792277963,0.47017543859649125,0
B0,3,1,3000,lam=3000,285,284,2022-03-18,2022-03-19,1.0568808524532292,0.23403682173063001,0.47535211267605632,0
B0,3,2,3000,lam=3000,569,286,2023-01-19,2023-01-21,1.0535436242878471,0.23016424011988637,0.47552447552447552,0
B0,3,3,3000,lam=3000,855,285,2023-10-28,2023-10-29,1.0506906898461825,0.23208713792277963,0.47017543859649125,0
B0,3,1,10000,lam=10000,285,284,2022-03-18,2022-03-19,1.0568808524532292,0.23403682173063001,0.47535211267605632,0
