rung,fold,lambda,lambda_label,is_selected,block,design_columns,block_l2_norm,block_l2_norm_per_column
B1,1,0.01,lam=0.01,False,phase1_backbone,88,5.3232214002265854,0.5674573079239118
B1,1,0.029999999999999999,lam=0.03,False,phase1_backbone,88,5.0108414636188776,0.53415749479397001
B1,1,0.10000000000000001,lam=0.1,False,phase1_backbone,88,4.3408934642941235,0.46274079810544727
B1,1,0.29999999999999999,lam=0.3,False,phase1_backbone,88,3.4670189949195138,0.36958546666767439
B1,1,1,lam=1,False,phase1_backbone,88,2.4815603341130599,0.26453522045628614
B1,1,3,lam=3,False,phase1_backbone,88,1.7240925785440846,0.18378888640449517
B1,1,10,lam=10,False,phase1_backbone,88,1.0876009093810797,0.11593864649452976
B1,1,30,lam=30,False,phase1_backbone,88,0.68423240315225342,0.07293941925289063
B1,1,100,lam=100,True,phase1_backbone,88,0.39642561059081977,0.042259112079836521
B1,2,0.01,lam=0.01,False,phase1_backbone,88,3.8079425321732159,0.40592803785016335
B1,2,0.029999999999999999,lam=0.03,False,phase1_backbone,88,3.7066905209253274,0.39513453718491531
B1,2,0.10000000000000001,lam=0.1,False,phase1_backbone,88,3.4314927898578018,0.36579836048339776
B1,2,0.29999999999999999,lam=0.3,False,phase1_backbone,88,2.9728908929917015,0.31691123401645055
B1,2,1,lam=1,False,phase1_backbone,88,2.3198221944217132,0.24729387683417672
B1,2,3,lam=3,False,phase1_backbone,88,1.6932209633011737,0.18049796116207348
B1,2,10,lam=10,False,phase1_backbone,88,1.0897620793558807,0.11616902798792667
B1,2,30,lam=30,False,phase1_backbone,88,0.69557725337444953,0.07414878435005029
B1,2,100,lam=100,True,phase1_backbone,88,0.41863917573478726,0.044627086080589462
B1,3,0.01,lam=0.01,False,phase1_backbone,88,9.2118861199694777,0.98199035988189864
B1,3,0.029999999999999999,lam=0.03,False,phase1_backbone,88,7.7417550825395978,0.82527386472356512
B1,3,0.10000000000000001,lam=0.1,False,phase1_backbone,88,6.0650110638048123,0.64653235175394441
B1,3,0.29999999999999999,lam=0.3,False,phase1_backbone,88,4.4323610924507646,0.47249128002861951
B1,3,1,lam=1,False,phase1_backbone,88,2.7698521514168339,0.29526723144059885
B1,3,3,lam=3,False,phase1_backbone,88,1.7024952521005627,0.18148660366993277
B1,3,10,lam=10,False,phase1_backbone,88,1.0270510565351501,0.10948401049354027
B1,3,30,lam=30,False,phase1_backbone,88,0.66197069315715562,0.070566312993762786
B1,3,100,lam=100,True,phase1_backbone,88,0.41751161906474166,0.04450688813569683
B1,4,0.01,lam=0.01,False,phase1_backbone,88,8.3957897704212332,0.8949941967124565
B1,4,0.029999999999999999,lam=0.03,False,phase1_backbone,88,6.9455133033744207,0.7403942058684243
B1,4,0.10000000000000001,lam=0.1,False,phase1_backbone,88,5.4138194118116303,0.57711508840907455
B1,4,0.29999999999999999,lam=0.3,False,phase1_backbone,88,4.0385429877582517,0.43051012901149327
B1,4,1,lam=1,False,phase1_backbone,88,2.6534498213874089,0.28285870136673108
B1,4,3,lam=3,False,phase1_backbone,88,1.715467338480988,0.18286943272439954
B1,4,10,lam=10,False,phase1_backbone,88,1.0700763297448148,0.11407052002838845
B1,4,30,lam=30,False,phase1_backbone,88,0.69661799523854051,0.074259727805533027
B1,4,100,lam=100,True,phase1_backbone,88,0.44239921868520909,0.047159915169424464
B2,1,0.01,lam=0.01,False,phase1_backbone,88,5.3205084999131627,0.56716811177880022
B2,1,0.01,lam=0.01,False,C_context,20,2.489426745452485,0.55665274278378218
B2,1,0.029999999999999999,lam=0.03,False,phase1_backbone,88,5.0037035813343644,0.53339659398580996
B2,1,0.029999999999999999,lam=0.03,False,C_context,20,2.2499940210807865,0.50311395801047332
B2,1,0.10000000000000001,lam=0.1,False,phase1_backbone,88,4.3064222904815868,0.45906615863022149
B2,1,0.10000000000000001,lam=0.1,False,C_context,20,1.7468515215151681,0.39060787487068521
B2,1,0.29999999999999999,lam=0.3,False,phase1_backbone,88,3.4221629955755803,0.36480380107118771
B2,1,0.29999999999999999,lam=0.3,False,C_context,20,1.1924480401436659,0.26663948773976348
B2,1,1,lam=1,False,phase1_backbone,88,2.443508347244753,0.2604788650267475
B2,1,1,lam=1,False,C_context,20,0.8031719167355883,0.17959470034395764
B2,1,3,lam=3,False,phase1_backbone,88,1.6856137024577338,0.1796870244314108
B2,1,3,lam=3,False,C_context,20,0.65529999722443655,0.14652953394492635
B2,1,10,lam=10,False,phase1_backbone,88,1.0557527401453966,0.11254362024669859
B2,1,10,lam=10,False,C_context,20,0.53905646000639507,0.1205366888284696
B2,1,30,lam=30,False,phase1_backbone,88,0.66148098143829881,0.070514109549128776
B2,1,30,lam=30,False,C_context,20,0.41390259173224137,0.092551433117663409
B2,1,100,lam=100,True,phase1_backbone,88,0.38266412866532351,0.040792133177521228
B2,1,100,lam=100,True,C_context,20,0.26379012957614945,0.058985266152574795
B2,2,0.01,lam=0.01,False,phase1_backbone,88,3.9703867637265411,0.42324465111766618
B2,2,0.01,lam=0.01,False,C_context,20,0.9009108737230257,0.20144979553134143
B2,2,0.029999999999999999,lam=0.03,False,phase1_backbone,88,3.8275072703585682,0.40801364594837691
