rung,fold,test_season,selected_lambda,selected_lambda_label,at_grid_floor,at_grid_ceiling,inner_best_log_loss,inner_log_loss_at_frozen,inner_folds,design_columns,coef_l2_norm,test_accuracy,test_balanced_accuracy,test_macro_f1,test_log_loss,test_brier_score,test_rps,train_log_loss,generalisation_gap,inner_ll_lam_0.01,inner_ll_lam_0.03,inner_ll_lam_0.1,inner_ll_lam_0.3,inner_ll_lam_1,inner_ll_lam_3,inner_ll_lam_10,inner_ll_lam_30,inner_ll_lam_100
B0,1,2022-2023,100,lam=100,False,True,1.0704620054471532,1.0704620054471532,3,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235,1.068585140698747,-0.013934656092711606,1.0704620054471532,1.0704620054471532,1.0704620054471532,1.0704620054471532,1.0704620054471532,1.0704620054471532,1.0704620054471532,1.0704620054471532,1.0704620054471532
B0,2,2023-2024,100,lam=100,False,True,1.0556156861713764,1.0556156861713764,3,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171668,0.63691481994459831,0.23374047783933521,1.0596951906330268,-0.0059388079158599894,1.0556156861713764,1.0556156861713764,1.0556156861713764,1.0556156861713764,1.0556156861713764,1.0556156861713764,1.0556156861713764,1.0556156861713764,1.0556156861713764
B0,3,2024-2025,100,lam=100,False,True,1.0537050555290861,1.0537050555290861,3,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441066,0.2358314096645121,1.0576432101157527,0.024997061491196959,1.0537050555290861,1.0537050555290861,1.0537050555290861,1.0537050555290861,1.0537050555290861,1.0537050555290861,1.0537050555290861,1.0537050555290861,1.0537050555290861
B0,4,2025-2026,100,lam=100,False,True,1.0636823796433841,1.0636823796433841,3,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.0845028766852298,0.65619373268698056,0.22776359072022156,1.063576746318041,0.020926130367188822,1.0636823796433841,1.0636823796433841,1.0636823796433841,1.0636823796433841,1.0636823796433841,1.0636823796433841,1.0636823796433841,1.0636823796433841,1.0636823796433841
B1,1,2022-2023,100,lam=100,False,True,1.1372972769145202,1.7139394791413738,3,88,0.39642561059081977,0.52105263157894732,0.43425955218109596,0.38641124230546203,1.0011196832756624,0.59606966954269924,0.20846999908575736,0.93623626321705433,0.064883420058608032,3.4419076949398133,2.9751855759632027,2.4795578801377589,2.0732807335209458,1.7139394791413738,1.486038972648041,1.3201962509142187,1.2200977276720664,1.1372972769145202
B1,2,2023-2024,100,lam=100,False,True,1.0125130927119919,1.2649943086720146,3,88,0.41863917573478726,0.56315789473684208,0.46051103368176544,0.41615130900845188,0.96799470988445513,0.57394718514670706,0.19946429452211351,0.9482522028643966,0.019742507020058531,1.6515601595046274,1.5926647676582359,1.4945327990208774,1.3823751268079947,1.2649943086720146,1.181492835025727,1.112865831079616,1.0593958511163151,1.0125130927119919
B1,3,2024-2025,100,lam=100,False,True,0.98637806676440609,1.1011364200476692,3,88,0.41751161906474171,0.49473684210526314,0.42753339850114047,0.36583789537712891,1.0110872570089848,0.60605280407001105,0.20878966826336315,0.94661129071907069,0.064475966289914144,1.1934442808256069,1.1825717825179733,1.1624231622540362,1.1355534407019319,1.1011364200476692,1.0689581318262662,1.0349917687000214,1.0082064455701329,0.98637806676440609
B1,4,2025-2026,100,lam=100,False,True,0.99340055005636752,1.0636554438394985,3,88,0.44239921868520904,0.48684210526315791,0.43004115226337447,0.36395582329317272,1.0503002658247012,0.63275484147323813,0.21407848421972989,0.95324476959097104,0.09705549623373011,1.1074489192083075,1.1031770910675947,1.094566192286673,1.0817795979965978,1.0636554438394985,1.0452621158348965,1.0247793811880528,1.0079715755100518,0.99340055005636752
B2,1,2022-2023,100,lam=100,False,True,1.1649549679310087,2.1922929961458375,3,108,0.46477636324257388,0.50789473684210529,0.42752152211356093,0.39241465706232387,1.0199964459428035,0.60971678495730508,0.21538404320977872,0.90740655281932314,0.11258989312348033,5.7327710086420467,4.1563137884032031,3.137818800401714,2.647115954052901,2.1922929961458375,1.8121100304580089,1.4902868039114248,1.2990909933778501,1.1649549679310087
B2,2,2023-2024,100,lam=100,False,True,1.0472372885726784,1.4675199414287354,3,108,0.47519196986473822,0.55263157894736847,0.45128145567169958,0.41171177384063301,0.97629512149069375,0.57783165038316353,0.20082098397734521,0.93306828271705089,0.043226838773642862,1.9526143815423798,1.8473415040687049,1.7108661237951479,1.5899089675340434,1.4675199414287354,1.3607007812543792,1.2442051051926575,1.1387394104697284,1.0472372885726784
