comparison,left,right,scope,n,log_loss_delta,log_loss_ci_lo,log_loss_ci_hi,rps_delta,rps_ci_lo,rps_ci_hi,signs_agree,log_loss_ci_excludes_zero,verdict,fold
D2rescaled - D1,D2_rescaled,D1,pooled,1520,-0.003645738330471352,-0.0048920618898973343,-0.0024072931640715983,-0.0012290767357673001,-0.0016445835050625914,-0.00081931600025104045,True,True,SIGNIFICANT,
D2rescaled - D2orig,D2_rescaled,D2_original,pooled,1520,-0.00057998081298115387,-0.00096523139821004186,-0.00019824949179405319,-0.00021366801620002318,-0.00033812366514248109,-9.232010868618185e-05,True,True,SIGNIFICANT,
D2rescaled - D2static,D2_rescaled,D2_static,pooled,1520,-0.0026926228197532952,-0.0054173506971929974,1.0933609957494783e-05,-0.00064504633003387277,-0.0013185796813901622,2.1173685141177278e-05,True,False,NOT SIGNIFICANT,
D2static - D1,D2_static,D1,pooled,1520,-0.00095311551071805729,-0.0037038042800368078,0.0018442804871703681,-0.00058403040573342736,-0.0012766955797594399,0.00011001097497226616,True,False,NOT SIGNIFICANT,
D2rescaled - D0,D2_rescaled,D0,pooled,1520,-0.06860458192091802,-0.085275315009382582,-0.052832646263019208,-0.025393644589596132,-0.031070454732921329,-0.020012199213891586,True,True,SIGNIFICANT,
D2rescaled - Elo v1,D2_rescaled,elo_v1,pooled,1520,0.00085162115825976738,-0.0075102409958679676,0.0089710861300180255,-0.00021285339907410714,-0.0027687134975728639,0.0022085801844453699,False,False,INCONCLUSIVE (sign disagreement),
D2rescaled - Poisson,D2_rescaled,poisson_walkforward,pooled,1520,0.0098675280034290144,-0.0030631604068473688,0.022663813499070349,0.0029106649788555742,-0.00074135934746266772,0.0065410337120399963,True,False,NOT SIGNIFICANT,
D2rescaled - DixonColes,D2_rescaled,dc_walkforward,pooled,1520,0.0099194154475469795,-0.003299278668456529,0.023137330079320874,0.0029587053780850813,-0.00067606383797844908,0.0066225577190183911,True,False,NOT SIGNIFICANT,
D2rescaled - D1,D2_rescaled,D1,fold 1 (2022-2023),380,-0.0041690650916659305,-0.0062239972025717079,-0.0021598687339984437,-0.0014462699532303139,-0.002171936427188072,-0.00074329021017505549,True,True,SIGNIFICANT,1
D2rescaled - D1,D2_rescaled,D1,fold 2 (2023-2024),380,-0.0028958226492546385,-0.0041551645990388466,-0.0015850493890764619,-0.00098777199516129335,-0.0014396821868239388,-0.00053658665019390797,True,True,SIGNIFICANT,2
D2rescaled - D1,D2_rescaled,D1,fold 3 (2024-2025),380,-0.0039117029314619687,-0.0064204498697581994,-0.0014884480948039868,-0.001303217165757928,-0.0021761778982685481,-0.00046807118570374917,True,True,SIGNIFICANT,3
D2rescaled - D1,D2_rescaled,D1,fold 4 (2025-2026),380,-0.0036063626495028713,-0.0072497515481049464,-5.0254250643307504e-05,-0.0011790478289196655,-0.0022957054828495567,-5.0428220808797434e-05,True,True,SIGNIFICANT,4
D2rescaled - D2static,D2_rescaled,D2_static,fold 1 (2022-2023),380,-0.0041690650916659201,-0.0062239972025716975,-0.002159868733998432,-0.0014462699532303139,-0.0021719364271880763,-0.00074329021017505658,True,True,SIGNIFICANT,1
D2rescaled - D2static,D2_rescaled,D2_static,fold 2 (2023-2024),380,-0.0057391397996459977,-0.012184087615062445,0.00070905268758797283,-0.001243034442751402,-0.0023661857453461154,-0.00010971809271261715,True,False,NOT SIGNIFICANT,2
D2rescaled - D2static,D2_rescaled,D2_static,fold 3 (2024-2025),380,0.0030912107169682982,-0.0011960343582427503,0.0073182339997484441,0.00063822038349747705,-0.00058110020325571378,0.0018368962384168641,True,False,NOT SIGNIFICANT,3
D2rescaled - D2static,D2_rescaled,D2_static,fold 4 (2025-2026),380,-0.0039534971046695615,-0.011056883182509422,0.0032064071347200425,-0.00052910130765125205,-0.0024703084080651993,0.0014350450271986418,True,False,NOT SIGNIFICANT,4
D2rescaled - D2static,D2_rescaled,D2_static,folds 2-4,1140,-0.0022004753957824202,-0.0056917721657194003,0.0012681834107755516,-0.00037797178896839241,-0.0012292069337496033,0.00045647183004816281,True,False,NOT SIGNIFICANT,
D2rescaled - D1,D2_rescaled,D1,folds 2-4,1140,-0.0034712960767398263,-0.005005924115916105,-0.0020068140828066071,-0.0011566789966129623,-0.0016557265239567085,-0.00067444578111104116,True,True,SIGNIFICANT,
