comparison,left,right,scope,n,log_loss_delta,log_loss_ci_lo,log_loss_ci_hi,rps_delta,rps_ci_lo,rps_ci_hi,signs_agree,log_loss_ci_excludes_zero,verdict,structural_note,fold
D3 - D2rescaled,D3,D2_rescaled,pooled,1520,0.00096668427667620949,-0.00082206126268725456,0.0027660429011830624,0.00015795426854931874,-0.00027188870548901738,0.00058391241066628723,True,False,NOT SIGNIFICANT,,
D4 - D3,D4,D3,pooled,1520,-0.0015001668630824872,-0.0044833478106207046,0.0014817745901269358,-0.00042717933839930963,-0.0012290471138236331,0.0003711906185119568,True,False,NOT SIGNIFICANT,,
D4 - D2rescaled,D4,D2_rescaled,pooled,1520,-0.00053348258640627743,-0.0036297898238767234,0.0025881031456705837,-0.00026922506984999075,-0.001097768179753985,0.00056999106816658712,True,False,NOT SIGNIFICANT,,
D3 - D0,D3,D0,pooled,1520,-0.067637897644241815,-0.084455969574512527,-0.051652508997090299,-0.025235690321046809,-0.030908712293307092,-0.019820688551273769,True,True,SIGNIFICANT,,
D3 - Elo v1,D3,elo_v1,pooled,1520,0.0018183054349359784,-0.0068119393398198671,0.010121878216815849,-5.4899130524787461e-05,-0.0026243972448815132,0.002416857857542711,False,False,INCONCLUSIVE (sign disagreement),,
D3 - Poisson,D3,poisson_walkforward,pooled,1520,0.010834212280105228,-0.0020469527332483764,0.023456496421798256,0.0030686192474048937,-0.00056608180563403362,0.006715079377485271,True,False,NOT SIGNIFICANT,,
D3 - DixonColes,D3,dc_walkforward,pooled,1520,0.01088609972422319,-0.0024753505108508927,0.023987113075166443,0.0031166596466344009,-0.00052168662382537465,0.0067847571513312338,True,False,NOT SIGNIFICANT,,
D4 - D0,D4,D0,pooled,1520,-0.069138064507324293,-0.084808235941227564,-0.05400677897715303,-0.025662869659446121,-0.031052752389824832,-0.020538701128872225,True,True,SIGNIFICANT,,
D4 - Elo v1,D4,elo_v1,pooled,1520,0.00031813857185349157,-0.0074592171233441957,0.0078152030052105782,-0.00048207846892409702,-0.0028559466116136541,0.0017928265116585983,False,False,INCONCLUSIVE (sign disagreement),,
D4 - Poisson,D4,poisson_walkforward,pooled,1520,0.0093340454170227436,-0.0033183753587602248,0.022169782009260768,0.0026414399090055841,-0.00098932937719944654,0.0063438083185773523,True,False,NOT SIGNIFICANT,,
D4 - DixonColes,D4,dc_walkforward,pooled,1520,0.0093859328611407052,-0.003855657417217211,0.022527938674957101,0.0026894803082350917,-0.00096244405523603126,0.0063685234754130736,True,False,NOT SIGNIFICANT,,
D3 - D2rescaled,D3,D2_rescaled,fold 1 (2022-2023),380,0.0010600669733787705,-0.00059891519238680982,0.0027445710405492956,0.00047550006976300376,-5.9324434174314966e-05,0.001026354934661438,True,False,NOT SIGNIFICANT,,1
D3 - D2rescaled,D3,D2_rescaled,fold 2 (2023-2024),380,-0.0010078031704229473,-0.0028358444396506784,0.00079879862914997428,-0.00028872198197131001,-0.00078809054738467001,0.00020806467442827778,True,False,NOT SIGNIFICANT,,2
D3 - D2rescaled,D3,D2_rescaled,fold 3 (2024-2025),380,0.0020783778350164845,-0.0027712935926330075,0.0070329967788598331,6.2468093077687985e-05,-0.00096701012765150636,0.0011099499581517774,True,False,NOT SIGNIFICANT,,3
D3 - D2rescaled,D3,D2_rescaled,fold 4 (2025-2026),380,0.0017360954687325307,-0.0029397011008872593,0.0062741258128191316,0.00038257089332789331,-0.00074689115207842859,0.0015431220424034309,True,False,NOT SIGNIFICANT,,4
D4 - D3,D4,D3,fold 1 (2022-2023),380,5.1128691923526943e-18,-7.596262800066861e-18,1.8114165138620976e-17,-1.7895042173234433e-18,-6.792811926982866e-18,3.0677215154116167e-18,False,False,INCONCLUSIVE (sign disagreement),D4 f1 == D3 f1 by construction: all 27 Block X columns are constant over 2021-22 training rows - see X1a-X1d,1
D4 - D3,D4,D3,fold 2 (2023-2024),380,-0.00017206079588957346,-0.0046687513653609746,0.0043614244550293458,-0.0002655859791453846,-0.0014854994673907801,0.00096705669355495727,True,False,NOT SIGNIFICANT,,2
D4 - D3,D4,D3,fold 3 (2024-2025),380,-0.0018601607505499813,-0.010462644299431261,0.0065001421125735351,-0.00030804083867061693,-0.0025257302625270586,0.0017873016850790317,True,False,NOT SIGNIFICANT,,3
D4 - D3,D4,D3,fold 4 (2025-2026),380,-0.0039684459058903993,-0.011221131272948737,0.0030875783678594106,-0.0011350905357812352,-0.003056473587508479,0.00084123269523828949,True,False,NOT SIGNIFICANT,,4
