rung,fold,test_season,train_matches,test_matches,design_width,selected_lambda,selected_lambda_label,at_grid_floor,at_grid_ceiling,rarest_class,epv,g6_status,p_home,p_draw,p_away,newton_iterations,gradient_norm,imputed_cells,constant_columns,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps,structural_note
D2_rescaled,1,2022-2023,380,380,92,1000,lam=1000,False,False,88,0.95652173913043481,PASS,,,,7,9.1325613738035827e-11,9765,29,0.5368421052631579,0.43438372556840843,0.37992137650382252,0.99264383399144629,0.59126579905157695,0.20762578612240679,
D2_rescaled,2,2023-2024,760,380,92,1000,lam=1000,False,False,175,1.9021739130434783,PASS,,,,7,8.3855489219075707e-10,11471,4,0.57105263157894737,0.46648083623693387,0.41340945409720969,0.9600651588781518,0.56785261444207036,0.19904040875358286,
D2_rescaled,3,2024-2025,1140,380,92,300,lam=300,False,False,257,2.7934782608695654,PASS,,,,8,1.1034146686628166e-12,13173,4,0.50789473684210529,0.43903551645487132,0.37577425579703272,1.0072052986068598,0.60353057587454673,0.208072585580308,
D2_rescaled,4,2025-2026,1520,380,92,300,lam=300,False,False,350,3.8043478260869565,PASS,,,,7,5.4918181113805531e-11,14875,2,0.48421052631578948,0.42451808533679875,0.35827369334200826,1.041217396455252,0.62516632199202016,0.21109137148694915,
D3,1,2022-2023,380,380,112,1000,lam=1000,False,False,88,0.7857142857142857,PASS,,,,7,7.7465811543220298e-11,9825,29,0.53421052631578947,0.43257213136550993,0.37826401209015043,0.99370390096482486,0.59218986056369949,0.20810128619216978,
D3,2,2023-2024,760,380,112,1000,lam=1000,False,False,175,1.5625,PASS,,,,7,6.5666083681747978e-10,11561,4,0.57105263157894737,0.46567557104142471,0.41287675435232768,0.95905735570772876,0.56711987280067722,0.19875168677161151,
D3,3,2024-2025,1140,380,112,300,lam=300,False,False,257,2.2946428571428572,PASS,,,,8,1.2724309453315819e-12,13293,4,0.5,0.4325839035516455,0.3704907704907705,1.009283676441876,0.60434372025965555,0.20813505367338575,
D3,4,2025-2026,1520,380,112,300,lam=300,False,False,350,3.125,PASS,,,,7,6.4770355745480401e-11,15025,2,0.47894736842105262,0.41867013212042453,0.35283391168265638,1.0429534919239847,0.62658734868092014,0.21147394238027703,
D4,1,2022-2023,380,380,139,1000,lam=1000,False,False,88,0.63309352517985606,PASS,,,,7,7.7451156599295246e-11,20721,56,0.53421052631578947,0.43257213136550993,0.37826401209015043,0.99370390096482508,0.59218986056369949,0.20810128619216978,D4 f1 == D3 f1 by construction: all 27 Block X columns are constant over 2021-22 training rows - see X1a-X1d
D4,2,2023-2024,760,380,139,1000,lam=1000,False,False,175,1.2589928057553956,PASS,,,,7,8.4024620594647104e-10,24233,4,0.56578947368421051,0.46106078203639184,0.40906004586391997,0.95888529491183927,0.56660460070963081,0.19848610079246615,
D4,3,2024-2025,1140,380,139,1000,lam=1000,False,False,257,1.8489208633093526,PASS,,,,7,3.7921922546590991e-14,27741,4,0.50789473684210529,0.43828608667318347,0.37394819545823194,1.007423515691326,0.60287221190173312,0.20782701283471511,
D4,4,2025-2026,1520,380,139,1000,lam=1000,False,False,350,2.5179856115107913,PASS,,,,7,5.007105841059456e-14,31249,2,0.5,0.43859649122807021,0.37088928204970872,1.0389850460180943,0.62341708993130862,0.21033885184449577,
