fold,test_season,column,pearson_r,r_squared,n_train
1,2022-2023,home_gfpm_before,-0.066212166371141162,0.0043840509755596769,380
2,2023-2024,home_gfpm_before,-0.038570329547765243,0.0014876703214232127,760
3,2024-2025,home_gfpm_before,-0.029003830241762812,0.0008412221686929951,1140
4,2025-2026,home_gfpm_before,-0.023253406209638776,0.00054072090035046721,1520
1,2022-2023,home_gapm_before,0.060164266690268045,0.0036197389863776969,380
2,2023-2024,home_gapm_before,0.046564593621827341,0.0021682613791659234,760
3,2024-2025,home_gapm_before,0.034899513014999037,0.0012179760086840873,1140
4,2025-2026,home_gapm_before,0.031466697314506832,0.00099015303988279142,1520
1,2022-2023,away_gfpm_before,0.12936668950342284,0.016735740353075013,380
2,2023-2024,away_gfpm_before,0.095065868635739792,0.0090375193794677341,760
3,2024-2025,away_gfpm_before,0.077823883810144254,0.0060565568912948325,1140
4,2025-2026,away_gfpm_before,0.073393898427751597,0.0053866643264231188,1520
1,2022-2023,away_gapm_before,-0.13141091897286256,0.017268829625292248,380
2,2023-2024,away_gapm_before,-0.10261977728131372,0.010530818689266431,760
3,2024-2025,away_gapm_before,-0.082520834754873831,0.0068096881686411925,1140
4,2025-2026,away_gapm_before,-0.069710192366463364,0.0048595109197693267,1520
1,2022-2023,home_venue_gfpm_before,0.017780414299146716,0.00031614313264930101,380
2,2023-2024,home_venue_gfpm_before,0.016253945075801246,0.00026419073052716359,760
3,2024-2025,home_venue_gfpm_before,0.018429594165644374,0.00033964994111035314,1140
4,2025-2026,home_venue_gfpm_before,0.018993291526339533,0.00036074512300452111,1520
1,2022-2023,home_venue_gapm_before,-0.0036285772697808153,1.3166573002769996e-05,380
2,2023-2024,home_venue_gapm_before,-0.002236003940036967,4.9997136198608406e-06,760
3,2024-2025,home_venue_gapm_before,-0.001370407430036227,1.8780165242984964e-06,1140
4,2025-2026,home_venue_gapm_before,-0.0021529848667346768,4.6353438363885337e-06,1520
1,2022-2023,away_venue_gfpm_before,-0.0078343278236400922,6.1376692448261304e-05,380
2,2023-2024,away_venue_gfpm_before,0.00095578494290536782,9.135248570846172e-07,760
3,2024-2025,away_venue_gfpm_before,0.0029257225298931632,8.5598523219244511e-06,1140
4,2025-2026,away_venue_gfpm_before,0.0060350403567453843,3.6421712107545453e-05,1520
1,2022-2023,away_venue_gapm_before,0.015244153789405076,0.00023238422475503314,380
2,2023-2024,away_venue_gapm_before,0.0080332051670442654,6.4532385255826682e-05,760
3,2024-2025,away_venue_gapm_before,0.0095643907056616757,9.1477569570547443e-05,1140
4,2025-2026,away_venue_gapm_before,0.0089742629752164477,8.053739594834077e-05,1520
1,2022-2023,home_last5_ppm_before,-0.06860572415782136,0.0047067453872190737,380
2,2023-2024,home_last5_ppm_before,-0.045592467010570598,0.0020786730481099683,760
3,2024-2025,home_last5_ppm_before,-0.034298688069063221,0.0011764000032588998,1140
4,2025-2026,home_last5_ppm_before,-0.029026768818070689,0.00084255330801772082,1520
1,2022-2023,away_last5_ppm_before,0.11430045512139268,0.013064594040957504,380
2,2023-2024,away_last5_ppm_before,0.082332360335680047,0.0067786175584442611,760
3,2024-2025,away_last5_ppm_before,0.067135192323685561,0.0045071340483382486,1140
4,2025-2026,away_last5_ppm_before,0.05887306061944609,0.0034660372667009742,1520
1,2022-2023,rel_gfpm_diff,-0.13660008929961806,0.018659584396663629,380
2,2023-2024,rel_gfpm_diff,-0.093744600474927317,0.0087880501182037423,760
3,2024-2025,rel_gfpm_diff,-0.076200266877948578,0.0058064806722705874,1140
4,2025-2026,rel_gfpm_diff,-0.068922249316570705,0.0047502764508555312,1520
1,2022-2023,rel_gapm_diff,0.13838817276048976,0.019151286359987158,380
2,2023-2024,rel_gapm_diff,0.10866881494726537,0.011808911342043005,760
3,2024-2025,rel_gapm_diff,0.086019366036503966,0.0073993313333220517,1140
4,2025-2026,rel_gapm_diff,0.074247406777085134,0.0055126774131219478,1520
