fold,test_season,column,train_rows,train_rows_clearing_burn_in,sd_used,sd_clearing_burn_in,sd_test,sd_inflation,test_range_in_used_sd
1,2022-2023,rel_elo_diff,380,0,74.425246016761562,,101.53068739265842,,7.6892710533027175
1,2022-2023,rel_attack_diff,380,0,1.3791421443724927,,0.58489311162445023,,2.8558110986309728
1,2022-2023,rel_defence_diff,380,0,5.1152643146994636,,0.37470869443955551,,0.45253723580320521
1,2022-2023,expected_total_goals,380,0,29.911495371114707,,0.64189683597944802,,0.13983637316782521
2,2023-2024,rel_elo_diff,760,380,89.015769523924703,101.53068739265842,109.95940625872134,0.87673758358067944,6.3516968708102457
2,2023-2024,rel_attack_diff,760,380,1.0590488261960835,0.58489311162445023,0.49942147055607428,1.8106707108496098,2.4871495413459348
2,2023-2024,rel_defence_diff,760,380,3.6298950609105729,0.37470869443955551,0.45045900419419055,9.6872453582635334,0.76995209933020148
2,2023-2024,expected_total_goals,760,380,21.160928069594618,0.64189683597944802,0.59403296820713247,32.966244548169328,0.16275686840607032
3,2024-2025,rel_elo_diff,1140,760,96.503506213086155,105.82925195358028,110.83274866057616,0.91187931910749342,6.7910458554054207
3,2024-2025,rel_attack_diff,1140,760,0.91144877959598136,0.54383920889403936,0.46478683836671086,1.6759526799281703,2.6202173435255944
3,2024-2025,rel_defence_diff,1140,760,2.9761494227345433,0.41433362974393861,0.42956390039219716,7.1829781825188235,0.81219940228981613
3,2024-2025,expected_total_goals,1140,760,17.28006467428953,0.63248143065304674,0.54366342000416434,27.321062464154242,0.19827845987915566
4,2025-2026,rel_elo_diff,1520,1140,100.27827977255365,107.52328913899181,96.596997912654558,0.93261916163043723,5.8662195139521609
4,2025-2026,rel_attack_diff,1520,1140,0.8227821957804089,0.51884249195544341,0.36893576911054571,1.5858034153668872,2.8506666399533658
4,2025-2026,rel_defence_diff,1520,1140,2.5867718517909148,0.41947565098772155,0.35864812955992936,6.1666793905676114,0.77071613154855134
4,2025-2026,expected_total_goals,1520,1140,14.967311211497336,0.60517004715298817,0.48327068470631207,24.73240584511872,0.25011332130054248
