comparison,left,right,scope,n,log_loss_delta,log_loss_ci_lo,log_loss_ci_hi,rps_delta,rps_ci_lo,rps_ci_hi,signs_agree,log_loss_ci_excludes_zero,verdict,fold
D2 - D1,D2,D1,pooled,1520,-0.0030657575174901979,-0.0040721299892017481,-0.002076148092555847,-0.0010154087195672771,-0.0013540868285825841,-0.00068481859198228265,True,True,SIGNIFICANT,
D1 - D0,D1,D0,pooled,1520,-0.06495884359044668,-0.081210469365683935,-0.049381878890024711,-0.024164567853828832,-0.02972398006817006,-0.018833351406700515,True,True,SIGNIFICANT,
D2 - D0,D2,D0,pooled,1520,-0.068024601107936858,-0.084693749822928974,-0.052215786753500019,-0.025179976573396108,-0.030840259465617158,-0.019766876802427686,True,True,SIGNIFICANT,
D1 - Elo v1,D1,elo_v1,pooled,1520,0.0044973594887311192,-0.0040340569553147521,0.012969858934469867,0.001016223336693193,-0.001626824112820097,0.0035568020759812022,True,False,NOT SIGNIFICANT,
D2 - Elo v1,D2,elo_v1,pooled,1520,0.0014316019712409197,-0.0069660893079319802,0.009664528434375633,8.1461712591601729e-07,-0.0025973644888398813,0.002455556232041114,True,False,NOT SIGNIFICANT,
D1 - Poisson,D1,poisson_walkforward,pooled,1520,0.013513266333900369,0.00015447862789551401,0.026839760168077889,0.0041397417146228736,0.00033613944599090637,0.0080303426409000615,True,True,SIGNIFICANT,
D2 - Poisson,D2,poisson_walkforward,pooled,1520,0.01044750881641017,-0.0025624152564416177,0.023388999250654775,0.003124332995055597,-0.00056959828499152424,0.0068277840037022997,True,False,NOT SIGNIFICANT,
D1 - Dixon-Coles,D1,dc_walkforward,pooled,1520,0.013565153778018329,-0.00022856637772465682,0.027417719829011079,0.0041877821138523817,0.0003713604334990182,0.0080675090515445868,True,False,NOT SIGNIFICANT,
D2 - Dixon-Coles,D2,dc_walkforward,pooled,1520,0.010499396260528131,-0.0028253984200645702,0.023892610821961056,0.003172373394285105,-0.00051871152987463249,0.0068730993313464023,True,False,NOT SIGNIFICANT,
D2 - D1,D2,D1,fold 1,380,-0.0034552209926576173,-0.0050950620457037975,-0.0018044555547806753,-0.0011844671623718174,-0.0017727685798510822,-0.0006013868984504348,True,True,SIGNIFICANT,1
D2 - D1,D2,D1,fold 2,380,-0.0024195470303021559,-0.0034920719603675696,-0.001291523435904125,-0.00079841683330847358,-0.0011671178811281163,-0.00041559374933699395,True,True,SIGNIFICANT,2
D2 - D1,D2,D1,fold 3,380,-0.003140226754701781,-0.0051296016494123409,-0.0011830600851961716,-0.0010494364625061885,-0.0017412509901173212,-0.00038090738152756122,True,True,SIGNIFICANT,3
D2 - D1,D2,D1,fold 4,380,-0.0032480352922992397,-0.0061239357918841802,-0.00039137492769559054,-0.0010293144200826283,-0.0019131671330854798,-0.00011563310272470846,True,True,SIGNIFICANT,4
