rung,fold,test_season,train_matches,test_matches,design_width,selected_lambda,selected_lambda_label,at_grid_floor,at_grid_ceiling,rarest_class,epv,g6_status,p_home,p_draw,p_away,newton_iterations,gradient_norm,imputed_cells,constant_columns,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps
D0,1,2022-2023,380,380,0,,n/a (no fit),False,False,88,,"NOT EXERCISED (no fit, no grid)",0.42894736842105263,0.23157894736842105,0.33947368421052632,0,0,0,0,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235
D0,2,2023-2024,760,380,0,,n/a (no fit),False,False,175,,"NOT EXERCISED (no fit, no grid)",0.45657894736842103,0.23026315789473684,0.31315789473684208,0,0,0,0,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171665,0.63691481994459831,0.23374047783933519
D0,3,2024-2025,1140,380,0,,n/a (no fit),False,False,257,,"NOT EXERCISED (no fit, no grid)",0.45789473684210524,0.22543859649122808,0.31666666666666665,0,0,0,0,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441055,0.23583140966451213
D0,4,2025-2026,1520,380,0,,n/a (no fit),False,False,350,,"NOT EXERCISED (no fit, no grid)",0.44539473684210529,0.23026315789473684,0.32434210526315788,0,0,0,0,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.08450287668523,0.65619373268698056,0.22776359072022156
D1,1,2022-2023,380,380,88,1000,lam=1000,False,False,88,1,PASS,,,,5,5.3290705182007514e-14,9762,29,0.53157894736842104,0.42702100784470148,0.37331122696976354,0.99681289908311221,0.59406660945927814,0.20907205607563714
D1,2,2023-2024,760,380,88,1000,lam=1000,False,False,175,1.9886363636363635,PASS,,,,5,2.3248514224860628e-11,11468,4,0.56578947368421051,0.46267131242741,0.41012176560121766,0.9629609815274065,0.56974079771686781,0.20002818074874412
D1,3,2024-2025,1140,380,88,300,lam=300,False,False,257,2.9204545454545454,PASS,,,,6,3.907985046680551e-14,13170,4,0.5,0.43220918866080155,0.3696785020314432,1.0111170015383215,0.60626116148306963,0.20937580274606593
D1,4,2025-2026,1520,380,88,300,lam=300,False,False,350,3.9772727272727271,PASS,,,,6,4.7073456244106637e-14,14872,2,0.49473684210526314,0.43361490145115877,0.36641679364852103,1.0448237591047551,0.62757059034777851,0.21227041931586876
D2,1,2022-2023,380,380,92,1000,lam=1000,False,False,88,0.95652173913043481,PASS,,,,5,4.2632564145606011e-14,9765,29,0.53421052631578947,0.4313256215928733,0.37698451894141427,0.99335767809045461,0.59173850556149776,0.20788758891326531
D2,2,2023-2024,760,380,92,1000,lam=1000,False,False,175,1.9021739130434783,PASS,,,,5,3.3075320260422814e-11,11471,4,0.57105263157894737,0.46648083623693387,0.41340945409720969,0.96054143449710416,0.5681421943747017,0.19922976391543568
D2,3,2024-2025,1140,380,92,300,lam=300,False,False,257,2.7934782608695654,PASS,,,,6,4.5741188614556449e-14,13173,4,0.50526315789473686,0.43688497882046268,0.3738864915335503,1.0079767747836197,0.60408465478213336,0.20832636628355977
D2,4,2025-2026,1520,380,92,300,lam=300,False,False,350,3.8043478260869565,PASS,,,,6,5.9507954119908391e-14,14875,2,0.48947368421052634,0.42949967511371018,0.36271958360442413,1.0415757238124559,0.62546784513965847,0.21124110489578618
