arm,arm_label,fold,test_matches,fit_matches_min,fit_matches_max,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps
A_static,"static, N_train, stale",1,380,380,380,0.49210526315789471,0.41231219252758944,0.35790029179859689,1.0406916642797812,0.62328416627102612,0.22332531613222517
A_static,"static, N_train, stale",2,380,760,760,0.52105263157894732,0.42948509485094855,0.37906976744186038,0.99018795700985629,0.59093988066831193,0.21069449943025631
A_static,"static, N_train, stale",3,380,1140,1140,0.50263157894736843,0.43660801564027368,0.37575859849124055,1.0232919940164467,0.61245816173825329,0.21477965361986609
A_static,"static, N_train, stale",4,380,1520,1520,0.45263157894736844,0.40935672514619875,0.34419943694984778,1.050901754503599,0.63350810603793917,0.21606464093647043
B_walkforward,"walk-forward, N_train+k, fresh",1,380,380,750,0.52631578947368418,0.43461640739263396,0.37876743139901031,0.99798348265255155,0.59470598230752847,0.20779108146250158
B_walkforward,"walk-forward, N_train+k, fresh",2,380,760,1130,0.58157894736842108,0.48295780100658153,0.42615621240501317,0.94144397656960632,0.5541215983653951,0.19288271843416613
B_walkforward,"walk-forward, N_train+k, fresh",3,380,1140,1510,0.52894736842105261,0.46298468556533073,0.39933582399335821,0.97666308689341053,0.5838347235413579,0.20051496169776767
B_walkforward,"walk-forward, N_train+k, fresh",4,380,1520,1890,0.46842105263157896,0.41765173855817128,0.35710427014917173,1.0453634800259535,0.62611691272567171,0.21280656883647109
C_rolling,"rolling fixed-size, N_train, fresh",1,380,380,380,0.52894736842105261,0.44016753091344235,0.38436104513064134,0.99895964107715107,0.59522434720162354,0.20789207468203158
C_rolling,"rolling fixed-size, N_train, fresh",2,380,760,760,0.58421052631578951,0.48566782810685249,0.42849843054237535,0.94181654796532288,0.55433838325678386,0.19298007879611567
C_rolling,"rolling fixed-size, N_train, fresh",3,380,1140,1140,0.52894736842105261,0.46298468556533073,0.39933582399335821,0.97666260473294886,0.58383452521537604,0.2005152818009367
C_rolling,"rolling fixed-size, N_train, fresh",4,380,1520,1520,0.46842105263157896,0.41765173855817128,0.35710427014917173,1.0453629112402141,0.62611654393208693,0.21280619265877629
D_static_half,"static half-window, N_train/2, stale",1,380,190,190,0.5,0.42225981810318086,0.37101042304918469,1.0447692069604286,0.62400548564641745,0.22397423316369433
D_static_half,"static half-window, N_train/2, stale",2,380,380,380,0.47894736842105262,0.39095625241966703,0.34414322250639384,1.0300900550724148,0.61915515202305249,0.22432630131564554
D_static_half,"static half-window, N_train/2, stale",3,380,570,570,0.5,0.43483219289670899,0.37422192403742222,1.0279565362370393,0.61545462144943797,0.21625592667683649
D_static_half,"static half-window, N_train/2, stale",4,380,760,760,0.4631578947368421,0.41758717782109595,0.35146165163436316,1.0351822436886366,0.62075451805461923,0.21140670563405414
