model,ece_pooled,mce_pooled,n_predictions,thin_bins,bias_H,bias_D,bias_A
D0,0.0076023391812865635,0.011403508771929888,4560,0,0.0024671052631579093,-0.011403508771929888,0.0089364035087718952
market_AvgC_proportional,0.0077849802712233402,0.050607781512468475,4560,0,-0.0036698806302898346,-0.0031862051653000767,0.006856085795589939
market_B365C_shin,0.0078950392128409527,0.09138844451083683,4560,1,0.00076409008635835995,-0.0081593913771187132,0.007395301290760381
market_B365C_proportional,0.010593513717450919,0.10229661836573045,4560,0,-0.0036630829525937658,-0.004164696794409839,0.0078277797470036048
market_AvgC_shin,0.011575572731372325,0.089181265735633786,4560,1,-0.00015445437613192947,-0.0063430162401170997,0.0064974706162490015
D2_rescaled,0.016249236579234345,0.11799749884637989,4560,0,0.010714529153796171,-0.012158408209185206,0.0014438790553889524
dc_walkforward,0.016771308768972669,0.16272806890871905,4560,1,-0.00815854569638369,-0.01123328078480415,0.019391826481187924
D4,0.017163214217174819,0.10009822407634661,4560,1,0.0074595473062057938,-0.0099773894007466057,0.002517842094540812
D1,0.017475466635531935,0.11687431530955572,4560,1,0.010336244010406725,-0.012467212459746885,0.0021309684493402425
D3,0.018994901911529655,0.10868013577668045,4560,1,0.010525186599291414,-0.01150959931965731,0.00098441272036592364
poisson_walkforward,0.020349604716976399,0.16234538838994184,4560,1,-0.0050349731544533372,-0.017480425868664884,0.022515399023118221
elo_v1,0.026951981854584004,0.19315688179189439,4560,2,0.0040020217195818053,-0.013227464234048636,0.0092254425144668861
