comparison,left,right,scope,n,log_loss_delta,log_loss_ci_lo,log_loss_ci_hi,rps_delta,rps_ci_lo,rps_ci_hi,signs_agree,log_loss_ci_excludes_zero,verdict,fold
E1a - DixonColes,E1a_sot,dc_walkforward,pooled,1520,-0.0091202801845970405,-0.021774217028028037,0.003912245149213716,-0.0023301469539565326,-0.0061341064493430301,0.0016322535269699141,True,False,NOT SIGNIFICANT,
E1a - DixonColes,E1a_sot,dc_walkforward,fold 1 (2022-2023),380,-0.01417083227046864,-0.042041991523650443,0.013722244531858737,-0.0033801613590375367,-0.011459745535260895,0.004857835787880356,True,False,NOT SIGNIFICANT,1
E1a - DixonColes,E1a_sot,dc_walkforward,fold 2 (2023-2024),380,-0.0047674518235798933,-0.029264240337320543,0.018908785758940727,-0.0011117389666247782,-0.0086100137767579389,0.0061855284237376405,True,False,NOT SIGNIFICANT,2
E1a - DixonColes,E1a_sot,dc_walkforward,fold 3 (2024-2025),380,0.0034912211861679913,-0.019045135293070635,0.026550977263243413,0.00031328802664071638,-0.0068166851670848098,0.0076512998813878519,True,False,NOT SIGNIFICANT,3
E1a - DixonColes,E1a_sot,dc_walkforward,fold 4 (2025-2026),380,-0.021034057830507616,-0.049934220151199589,0.0052966290639716264,-0.0051419755168045323,-0.013269607477585106,0.0026544981203165926,True,False,NOT SIGNIFICANT,4
E1a - D2rescaled,E1a_sot,D2_rescaled,pooled,1520,-0.019039695632144023,-0.031949295559007697,-0.0062771477431838455,-0.0052888523320416157,-0.0093124806597120417,-0.0013543353958412098,True,True,SIGNIFICANT,
E1a - D2rescaled,E1a_sot,D2_rescaled,fold 1 (2022-2023),380,-0.0088311836093634931,-0.034916599940498477,0.01815022020089084,-0.0032148660189427595,-0.011689022454145638,0.0053538287193575446,True,False,NOT SIGNIFICANT,1
E1a - D2rescaled,E1a_sot,D2_rescaled,fold 2 (2023-2024),380,-0.023388634132125257,-0.04647173421411558,0.00032456649079556205,-0.0072694292860415151,-0.014319082925587897,-0.00013970175763218518,True,False,NOT SIGNIFICANT,2
E1a - D2rescaled,E1a_sot,D2_rescaled,fold 3 (2024-2025),380,-0.027050990527281091,-0.051895477007565499,-0.0022954045946584432,-0.0072443358558996179,-0.014816240998826087,0.00025378615004650906,True,True,SIGNIFICANT,3
E1a - D2rescaled,E1a_sot,D2_rescaled,fold 4 (2025-2026),380,-0.016887974259806253,-0.045446844272748713,0.011226220089896875,-0.0034267781672825694,-0.011907935007478108,0.0049616722169240467,True,False,NOT SIGNIFICANT,4
E1a - Elo v1,E1a_sot,elo_v1,pooled,1520,-0.018188074473884253,-0.029915531207435467,-0.0062830114042174241,-0.0055017057311157209,-0.0091475490864730887,-0.0018162499436384476,True,True,SIGNIFICANT,
E1a - Elo v1,E1a_sot,elo_v1,fold 1 (2022-2023),380,-0.0012426749779714927,-0.025722599916125237,0.025075172988256504,-0.0003093805114836001,-0.0082017594910519399,0.0079125747977175052,True,False,NOT SIGNIFICANT,1
E1a - Elo v1,E1a_sot,elo_v1,fold 2 (2023-2024),380,-0.031176382506469764,-0.056092819951438999,-0.0056861818634686302,-0.010578427668014076,-0.018447238005117671,-0.0025906049579114483,True,True,SIGNIFICANT,2
E1a - Elo v1,E1a_sot,elo_v1,fold 3 (2024-2025),380,-0.029628377405348225,-0.050934719096930176,-0.0078119877985404389,-0.0085586986440856615,-0.015294582767956044,-0.0019862159276103977,True,True,SIGNIFICANT,3
E1a - Elo v1,E1a_sot,elo_v1,fold 4 (2025-2026),380,-0.010704863005747533,-0.031429856321585278,0.010284743162808344,-0.0025603161008795473,-0.0090161976306087441,0.0037867939833013922,True,False,NOT SIGNIFICANT,4
E1a - D0,E1a_sot,D0,pooled,1520,-0.087644277553062047,-0.10542950997840027,-0.069692878360466698,-0.030682496921637742,-0.036656509048679099,-0.024735690482077625,True,True,SIGNIFICANT,
E1a - D0,E1a_sot,D0,fold 1 (2022-2023),380,-0.070837834223952664,-0.1058275074206476,-0.03410036742469913,-0.025658331974098302,-0.037464366895782746,-0.013431513720798829,True,True,SIGNIFICANT,1
