comparison,left,right,scope,n,log_loss_delta,log_loss_ci_lo,log_loss_ci_hi,rps_delta,rps_ci_lo,rps_ci_hi,signs_agree,log_loss_ci_excludes_zero,verdict,fold
E1b - D2rescaled,E1b,D2_rescaled,pooled,1520,-0.0027032827014460917,-0.0053620499545660666,1.1505178754856939e-05,-0.0007783819684939095,-0.0015344373660217123,-1.7233929631151697e-05,True,False,NOT SIGNIFICANT,
E1b - D2rescaled,E1b,D2_rescaled,fold 1 (2022-2023),380,-0.0012606224083119447,-0.0030710526350774254,0.0005714549317639905,-0.00034940249257311079,-0.00096074933306014544,0.00026973711446099535,True,False,NOT SIGNIFICANT,1
E1b - D2rescaled,E1b,D2_rescaled,fold 2 (2023-2024),380,-0.0056833862698280639,-0.0085684203259705546,-0.0028577823876053325,-0.0015934555657539087,-0.002378097534368363,-0.00080270798689907944,True,True,SIGNIFICANT,2
E1b - D2rescaled,E1b,D2_rescaled,fold 3 (2024-2025),380,-0.0012050233923633624,-0.0080610078889488557,0.0057750996424590943,-0.00084828976649105521,-0.0027938000136227712,0.001092104133715968,True,False,NOT SIGNIFICANT,3
E1b - D2rescaled,E1b,D2_rescaled,fold 4 (2025-2026),380,-0.0026640987352809947,-0.010077457855673761,0.0048340546546038615,-0.00032238004915756331,-0.0024150861537662396,0.0018766613018966474,True,False,NOT SIGNIFICANT,4
E1b - E1a,E1b,E1a_sot,pooled,1520,0.016336412930697933,0.0039666561736230246,0.028476749975692345,0.0045104703635477049,0.00077247453400574391,0.0082137465296991778,True,True,SIGNIFICANT,
E1b - E1a,E1b,E1a_sot,fold 1 (2022-2023),380,0.0075705612010515478,-0.018655485045524004,0.032887504000041853,0.0028654635263696488,-0.005461286585727072,0.011024218442353082,True,False,NOT SIGNIFICANT,1
E1b - E1a,E1b,E1a_sot,fold 2 (2023-2024),380,0.017705247862297189,-0.0052006333825645569,0.039944880117493892,0.0056759737202876038,-0.0011807497046886378,0.01237344993832439,True,False,NOT SIGNIFICANT,2
E1b - E1a,E1b,E1a_sot,fold 3 (2024-2025),380,0.025845967134917731,0.0015920302730902229,0.049960776779537301,0.0063960460894085629,-0.00058866529006870402,0.013480581887057004,True,True,SIGNIFICANT,3
E1b - E1a,E1b,E1a_sot,fold 4 (2025-2026),380,0.01422387552452526,-0.011614839527887033,0.040302203136599733,0.0031043981181250067,-0.0044935844385006214,0.010843659050552313,True,False,NOT SIGNIFICANT,4
E1b - DixonColes,E1b,dc_walkforward,pooled,1520,0.0072161327461008895,-0.0062136740846617496,0.02054130441668478,0.0021803234095911727,-0.0015085388269711331,0.0059121745696677419,True,False,NOT SIGNIFICANT,
E1b - DixonColes,E1b,dc_walkforward,fold 1 (2022-2023),380,-0.006600271069417094,-0.039215625335069247,0.025540185813525983,-0.00051469783266788933,-0.0097755856487540017,0.008559278854742676,True,False,NOT SIGNIFICANT,1
E1b - DixonColes,E1b,dc_walkforward,fold 2 (2023-2024),380,0.012937796038717295,-0.012118926574249296,0.036677512357232656,0.0045642347536628261,-0.0020552244114172514,0.01111628861509335,True,False,NOT SIGNIFICANT,2
E1b - DixonColes,E1b,dc_walkforward,fold 3 (2024-2025),380,0.029337188321085721,0.0055034021580623845,0.053255782096957388,0.0067093341160492795,-0.00025687890000678073,0.013717408618639565,True,True,SIGNIFICANT,3
E1b - DixonColes,E1b,dc_walkforward,fold 4 (2025-2026),380,-0.0068101823059823581,-0.031152954985623919,0.016256809893309562,-0.0020375773986795235,-0.0082277319273135995,0.0041099632633717102,True,False,NOT SIGNIFICANT,4
E1b - Elo v1,E1b,elo_v1,pooled,1520,-0.0018516615431863211,-0.010435877927294073,0.0066489118238810558,-0.00099123536756801599,-0.0036039678374339087,0.001509235156447124,True,False,NOT SIGNIFICANT,
E1b - Elo v1,E1b,elo_v1,fold 1 (2022-2023),380,0.0063278862230800549,-0.0045582367368732623,0.017642751021897003,0.0025560830148860475,-0.0009914724334931695,0.0061472862328010918,True,False,NOT SIGNIFICANT,1
E1b - Elo v1,E1b,elo_v1,fold 2 (2023-2024),380,-0.013471134644172577,-0.028127960323876842,0.0015150870806706655,-0.0049024539477264704,-0.0094704145061865145,-0.00026615848958886794,True,False,NOT SIGNIFICANT,2
E1b - Elo v1,E1b,elo_v1,fold 3 (2024-2025),380,-0.0037824102704304935,-0.023924563314285444,0.016826354115080017,-0.0021626525546770991,-0.0081847704567799846,0.0039351623672775121,True,False,NOT SIGNIFICANT,3
E1b - Elo v1,E1b,elo_v1,fold 4 (2025-2026),380,0.0035190125187777241,-0.015865538953565978,0.023444044931551344,0.00054408201724545884,-0.0054572540370178583,0.0066197960518306134,True,False,NOT SIGNIFICANT,4
E1b - Poisson,E1b,poisson_walkforward,pooled,1520,0.007164245301982927,-0.0060376821149822095,0.019997338071925105,0.0021322830103616655,-0.0015361273204665786,0.0058563656068419834,True,False,NOT SIGNIFICANT,
E1b - Poisson,E1b,poisson_walkforward,fold 1 (2022-2023),380,-0.0038189618538697219,-0.035388511485572011,0.027865752031424273,-0.00036829234132712703,-0.0096354155318313928,0.0087297735682352155,True,False,NOT SIGNIFICANT,1
E1b - Poisson,E1b,poisson_walkforward,fold 2 (2023-2024),380,0.011372144557512558,-0.012275580646078546,0.03412038136900062,0.0044204613972205651,-0.0021483201694110902,0.010924462192912255,True,False,NOT SIGNIFICANT,2
E1b - Poisson,E1b,poisson_walkforward,fold 3 (2024-2025),380,0.0285702481400321,0.005655500275816884,0.051899182614133281,0.0066050963266140721,-0.00039127809095944723,0.013626060220888964,True,True,SIGNIFICANT,3
E1b - Poisson,E1b,poisson_walkforward,fold 4 (2025-2026),380,-0.0074664496357432263,-0.030404867134510304,0.014020760046490176,-0.0021281333410608483,-0.0082399536224218098,0.0039820728796405198,True,False,NOT SIGNIFICANT,4
E1b - D0,E1b,D0,pooled,1520,-0.071307864622364103,-0.088248860409671837,-0.055281716717535484,-0.026172026558090037,-0.031862983484452545,-0.020706399038561554,True,True,SIGNIFICANT,
E1b - D0,E1b,D0,fold 1 (2022-2023),380,-0.063267273022901124,-0.085843567115557073,-0.040067336306121089,-0.022792868447728654,-0.030808259211577971,-0.014662189020810172,True,True,SIGNIFICANT,1
E1b - D0,E1b,D0,fold 2 (2023-2024),380,-0.099374610108842895,-0.13164168649081054,-0.066041703752254946,-0.036293524651506266,-0.047526017764350212,-0.024883417385044723,True,True,SIGNIFICANT,2
E1b - D0,E1b,D0,fold 3 (2024-2025),380,-0.076639996392453572,-0.11397757062579721,-0.038266257513480617,-0.028607113850695184,-0.041209244567024496,-0.015797091628357032,True,True,SIGNIFICANT,3
E1b - D0,E1b,D0,fold 4 (2025-2026),380,-0.045949578965258843,-0.080276292598379081,-0.011626986409807038,-0.016994599282430044,-0.028552300450693738,-0.0056240795158875867,True,True,SIGNIFICANT,4
E1b - market,E1b,market,pooled,1520,0.037006249167949708,0.026028511593724261,0.047910912678832997,0.010987354054629608,0.0075250507704225939,0.014437920309222705,True,True,SIGNIFICANT,
E1b - market,E1b,market,fold 1 (2022-2023),380,0.029670207309013742,0.0042665309152190708,0.055266815024030434,0.0098588922879582225,0.0018270411387982851,0.017948762874341505,True,True,SIGNIFICANT,1
E1b - market,E1b,market,fold 2 (2023-2024),380,0.054698039406619471,0.033906829687072843,0.075332264481512493,0.017013679851740515,0.010244866873468012,0.023792793967527689,True,True,SIGNIFICANT,2
E1b - market,E1b,market,fold 3 (2024-2025),380,0.038231590417642465,0.018347886361078723,0.058259527538162423,0.010933178385265953,0.0049014017297865087,0.017066745077820158,True,True,SIGNIFICANT,3
E1b - market,E1b,market,fold 4 (2025-2026),380,0.02542515953852317,0.0041458558484467663,0.046863449067674985,0.0061436656935537426,-0.00038670179531425514,0.012861679906884489,True,True,SIGNIFICANT,4
