rung,fold,lambda,lambda_label,inner_mean_log_loss,selected
D2_rescaled,1,9.9999999999999995e-07,lam=1e-06,8.1225965067460777,False
D2_rescaled,1,3.0000000000000001e-06,lam=3e-06,8.1225499369248659,False
D2_rescaled,1,1.0000000000000001e-05,lam=1e-05,6.4655700027005594,False
D2_rescaled,1,3.0000000000000001e-05,lam=3e-05,8.121925510935462,False
D2_rescaled,1,0.0001,lam=0.0001,6.1127603968048945,False
D2_rescaled,1,0.00029999999999999997,lam=0.0003,6.0476808985587489,False
D2_rescaled,1,0.001,lam=0.001,5.7948938757312787,False
D2_rescaled,1,0.0030000000000000001,lam=0.003,5.3046946665039147,False
D2_rescaled,1,0.01,lam=0.01,4.5018358798184499,False
D2_rescaled,1,0.029999999999999999,lam=0.03,3.4842616921703913,False
D2_rescaled,1,0.10000000000000001,lam=0.1,2.6915054813501356,False
D2_rescaled,1,0.29999999999999999,lam=0.3,2.1534360610308139,False
D2_rescaled,1,1,lam=1,1.6900522088231269,False
D2_rescaled,1,3,lam=3,1.4626145319857229,False
D2_rescaled,1,10,lam=10,1.3255099104895076,False
D2_rescaled,1,30,lam=30,1.2115002570447049,False
D2_rescaled,1,100,lam=100,1.1027714178180741,False
D2_rescaled,1,300,lam=300,1.0450438375311759,False
D2_rescaled,1,1000,lam=1000,1.0268108891909966,True
D2_rescaled,1,3000,lam=3000,1.0380375066537142,False
D2_rescaled,1,10000,lam=10000,1.0554291410967929,False
D2_rescaled,2,9.9999999999999995e-07,lam=1e-06,2.7453416178232515,False
D2_rescaled,2,3.0000000000000001e-06,lam=3e-06,2.7045220879873426,False
D2_rescaled,2,1.0000000000000001e-05,lam=1e-05,2.6528068785027976,False
D2_rescaled,2,3.0000000000000001e-05,lam=3e-05,2.6041545414628038,False
D2_rescaled,2,0.0001,lam=0.0001,2.5398918881968409,False
D2_rescaled,2,0.00029999999999999997,lam=0.0003,2.4615677466644312,False
D2_rescaled,2,0.001,lam=0.001,2.3482855316475377,False
D2_rescaled,2,0.0030000000000000001,lam=0.003,2.2509185960180873,False
D2_rescaled,2,0.01,lam=0.01,2.1387282303906847,False
D2_rescaled,2,0.029999999999999999,lam=0.03,2.0327136596585058,False
D2_rescaled,2,0.10000000000000001,lam=0.1,1.903281466699752,False
D2_rescaled,2,0.29999999999999999,lam=0.3,1.7659936387372517,False
D2_rescaled,2,1,lam=1,1.5943757829751641,False
D2_rescaled,2,3,lam=3,1.4399231298746658,False
D2_rescaled,2,10,lam=10,1.2864381190409437,False
D2_rescaled,2,30,lam=30,1.15686170132854,False
D2_rescaled,2,100,lam=100,1.0546693896237207,False
D2_rescaled,2,300,lam=300,1.0119469307560869,False
D2_rescaled,2,1000,lam=1000,1.0009515713367108,True
D2_rescaled,2,3000,lam=3000,1.0118638976149499,False
D2_rescaled,2,10000,lam=10000,1.0331730152432597,False
D2_rescaled,3,9.9999999999999995e-07,lam=1e-06,1.9154136319190893,False
D2_rescaled,3,3.0000000000000001e-06,lam=3e-06,1.8738012867869864,False
D2_rescaled,3,1.0000000000000001e-05,lam=1e-05,1.8219586333860889,False
D2_rescaled,3,3.0000000000000001e-05,lam=3e-05,1.7704836414288643,False
D2_rescaled,3,0.0001,lam=0.0001,1.6981962170113452,False
D2_rescaled,3,0.00029999999999999997,lam=0.0003,1.5937664719325944,False
D2_rescaled,3,0.001,lam=0.001,1.4795186396322797,False
D2_rescaled,3,0.0030000000000000001,lam=0.003,1.4089135555202748,False
D2_rescaled,3,0.01,lam=0.01,1.3539954854532512,False
D2_rescaled,3,0.029999999999999999,lam=0.03,1.3143219829520583,False
D2_rescaled,3,0.10000000000000001,lam=0.1,1.268507380835556,False
D2_rescaled,3,0.29999999999999999,lam=0.3,1.2203958965895394,False
D2_rescaled,3,1,lam=1,1.1588735405402708,False
D2_rescaled,3,3,lam=3,1.1001632855617749,False
D2_rescaled,3,10,lam=10,1.0443594954391062,False
D2_rescaled,3,30,lam=30,1.0073090701682847,False
D2_rescaled,3,100,lam=100,0.98274155888615322,False
D2_rescaled,3,300,lam=300,0.9736078232394475,True
D2_rescaled,3,1000,lam=1000,0.97551331083438297,False
D2_rescaled,3,3000,lam=3000,0.9890951057284304,False
D2_rescaled,3,10000,lam=10000,1.0142630460938062,False
D2_rescaled,4,9.9999999999999995e-07,lam=1e-06,1.1583773241053694,False
D2_rescaled,4,3.0000000000000001e-06,lam=3e-06,1.1566877755684231,False
D2_rescaled,4,1.0000000000000001e-05,lam=1e-05,1.1548391896673533,False
D2_rescaled,4,3.0000000000000001e-05,lam=3e-05,1.1531429308027623,False
D2_rescaled,4,0.0001,lam=0.0001,1.1512274239129892,False
D2_rescaled,4,0.00029999999999999997,lam=0.0003,1.1493009932142777,False
D2_rescaled,4,0.001,lam=0.001,1.1465830647257209,False
D2_rescaled,4,0.0030000000000000001,lam=0.003,1.1427173358688165,False
D2_rescaled,4,0.01,lam=0.01,1.1358004041388861,False
D2_rescaled,4,0.029999999999999999,lam=0.03,1.1272299288976835,False
D2_rescaled,4,0.10000000000000001,lam=0.1,1.1155348769320219,False
D2_rescaled,4,0.29999999999999999,lam=0.3,1.0992976547907789,False
D2_rescaled,4,1,lam=1,1.0746094235523365,False
D2_rescaled,4,3,lam=3,1.0509904340160929,False
D2_rescaled,4,10,lam=10,1.0276319035331294,False
D2_rescaled,4,30,lam=30,1.0084186518927734,False
D2_rescaled,4,100,lam=100,0.99214435882381347,False
D2_rescaled,4,300,lam=300,0.98453199130374469,True
D2_rescaled,4,1000,lam=1000,0.98541660143410414,False
D2_rescaled,4,3000,lam=3000,0.99668540909616199,False
D2_rescaled,4,10000,lam=10000,1.0200948568291173,False
E1b,1,9.9999999999999995e-07,lam=1e-06,7.0705410147250456,False
E1b,1,3.0000000000000001e-06,lam=3e-06,7.0703374083169095,False
E1b,1,1.0000000000000001e-05,lam=1e-05,8.1341806736431774,False
E1b,1,3.0000000000000001e-05,lam=3e-05,6.4508795145161102,False
E1b,1,0.0001,lam=0.0001,6.2450068642524785,False
E1b,1,0.00029999999999999997,lam=0.0003,8.1086889132088142,False
E1b,1,0.001,lam=0.001,5.8976227749990686,False
E1b,1,0.0030000000000000001,lam=0.003,5.510267032005471,False
E1b,1,0.01,lam=0.01,4.8941701682371344,False
E1b,1,0.029999999999999999,lam=0.03,4.0918846393591108,False
E1b,1,0.10000000000000001,lam=0.1,3.0263721441452422,False
E1b,1,0.29999999999999999,lam=0.3,2.2956672907359787,False
E1b,1,1,lam=1,1.740001792650544,False
E1b,1,3,lam=3,1.4671983546820548,False
E1b,1,10,lam=10,1.3217416995031885,False
E1b,1,30,lam=30,1.209893314866378,False
E1b,1,100,lam=100,1.1020699107359837,False
E1b,1,300,lam=300,1.044234174762092,False
E1b,1,1000,lam=1000,1.0255739181236403,True
E1b,1,3000,lam=3000,1.0368532644832071,False
E1b,1,10000,lam=10000,1.0547661419904122,False
E1b,2,9.9999999999999995e-07,lam=1e-06,3.0785688112673451,False
E1b,2,3.0000000000000001e-06,lam=3e-06,3.0363121724284357,False
E1b,2,1.0000000000000001e-05,lam=1e-05,2.9836708060034112,False
E1b,2,3.0000000000000001e-05,lam=3e-05,2.9330537544054862,False
E1b,2,0.0001,lam=0.0001,2.8625640681331306,False
E1b,2,0.00029999999999999997,lam=0.0003,2.7675839322185598,False
E1b,2,0.001,lam=0.001,2.6184059825579995,False
E1b,2,0.0030000000000000001,lam=0.003,2.466480346634027,False
E1b,2,0.01,lam=0.01,2.2825046345787934,False
E1b,2,0.029999999999999999,lam=0.03,2.1285515077580599,False
E1b,2,0.10000000000000001,lam=0.1,1.9659715706270118,False
E1b,2,0.29999999999999999,lam=0.3,1.8050294073911066,False
E1b,2,1,lam=1,1.6198629991810933,False
E1b,2,3,lam=3,1.458850091795407,False
E1b,2,10,lam=10,1.2974315835894037,False
E1b,2,30,lam=30,1.160273621752123,False
E1b,2,100,lam=100,1.0542331240577696,False
E1b,2,300,lam=300,1.0107526338313657,False
E1b,2,1000,lam=1000,0.99963259029316309,True
E1b,2,3000,lam=3000,1.010690356582314,False
E1b,2,10000,lam=10000,1.0324099975632897,False
E1b,3,9.9999999999999995e-07,lam=1e-06,1.9260013482816118,False
E1b,3,3.0000000000000001e-06,lam=3e-06,1.8833456595772322,False
E1b,3,1.0000000000000001e-05,lam=1e-05,1.831305958529682,False
E1b,3,3.0000000000000001e-05,lam=3e-05,1.7809912087401318,False
E1b,3,0.0001,lam=0.0001,1.7093497321128199,False
E1b,3,0.00029999999999999997,lam=0.0003,1.6058929520981795,False
E1b,3,0.001,lam=0.001,1.4898262736955361,False
E1b,3,0.0030000000000000001,lam=0.003,1.417028233429996,False
E1b,3,0.01,lam=0.01,1.3601433104998328,False
E1b,3,0.029999999999999999,lam=0.03,1.3176942839405315,False
E1b,3,0.10000000000000001,lam=0.1,1.2685467605200675,False
E1b,3,0.29999999999999999,lam=0.3,1.2164326844107569,False
E1b,3,1,lam=1,1.1514645111845401,False
E1b,3,3,lam=3,1.0925023352275816,False
E1b,3,10,lam=10,1.0374899389266159,False
E1b,3,30,lam=30,1.0005900489059432,False
E1b,3,100,lam=100,0.97670132083074979,False
E1b,3,300,lam=300,0.96878946107669117,True
E1b,3,1000,lam=1000,0.97204928607486674,False
E1b,3,3000,lam=3000,0.98658756234070621,False
E1b,3,10000,lam=10000,1.0126693440356971,False
E1b,4,9.9999999999999995e-07,lam=1e-06,1.1846562872583801,False
E1b,4,3.0000000000000001e-06,lam=3e-06,1.182961933277328,False
E1b,4,1.0000000000000001e-05,lam=1e-05,1.1811067004408662,False
E1b,4,3.0000000000000001e-05,lam=3e-05,1.1794014266558204,False
E1b,4,0.0001,lam=0.0001,1.1774662943525875,False
E1b,4,0.00029999999999999997,lam=0.0003,1.1754938602618861,False
E1b,4,0.001,lam=0.001,1.1726275788428171,False
E1b,4,0.0030000000000000001,lam=0.003,1.1683916906607674,False
E1b,4,0.01,lam=0.01,1.1605796549355987,False
E1b,4,0.029999999999999999,lam=0.03,1.1506253927523817,False
E1b,4,0.10000000000000001,lam=0.1,1.1359955692726764,False
E1b,4,0.29999999999999999,lam=0.3,1.1147891727989692,False
E1b,4,1,lam=1,1.0838800354521019,False
E1b,4,3,lam=3,1.0561995970314444,False
E1b,4,10,lam=10,1.02972942118102,False
E1b,4,30,lam=30,1.0079681884266476,False
E1b,4,100,lam=100,0.98953258926678744,False
E1b,4,300,lam=300,0.98120193164481462,True
E1b,4,1000,lam=1000,0.98246521360577099,False
E1b,4,3000,lam=3000,0.99435868312086373,False
E1b,4,10000,lam=10000,1.0184733914967525,False
