model,n,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps
market,1520,0.5513157894736842,0.47244848274780687,0.40947964723974523,0.9605733901135316,0.57019433686453214,0.19469180196268818
E1a_sot,1520,0.52763157894736845,0.45142894869319078,0.39105155832151456,0.98124322635078343,0.58336298869201675,0.20116868565377008
dc_walkforward,1520,0.52631578947368418,0.45106465898754067,0.3917350023174469,0.99036350653538052,0.58969480423498832,0.20349883260772664
poisson_walkforward,1520,0.52697368421052626,0.45134435889183228,0.3907064937497074,0.99041539397949829,0.58998304663036538,0.20354687300695612
E1b,1520,0.52763157894736845,0.44387157204987909,0.3846857798034769,0.99757963928148141,0.59502006972882682,0.20567915601731779
elo_v1,1520,0.53552631578947374,0.44713343731689403,0.38741396263520161,0.99943130082466769,0.59579847048807899,0.20667039138488577
D4,1520,0.52697368421052626,0.44256146171176747,0.38332530599637993,0.99974943939652117,0.59627094077659304,0.20618831291596168
D2_rescaled,1520,0.52500000000000002,0.44149067861652352,0.38239286406825673,1.0002829219829275,0.59695382784005346,0.20645753798581171
D2_committed,1520,0.52500000000000002,0.44149067861652352,0.38239286406825673,1.0002829219829275,0.59695382784005346,0.20645753798581171
D0,1520,0.44473684210526315,0.33333333333333331,0.20522161505768063,1.0688875039038455,0.64666510368574937,0.23185118257540779
