comparison,left,right,scope,n,log_loss_delta,log_loss_ci_lo,log_loss_ci_hi,rps_delta,rps_ci_lo,rps_ci_hi,signs_agree,log_loss_ci_excludes_zero,verdict,fold
E1c - D2rescaled,E1c,D2_rescaled,pooled,1520,-0.00072195313388680475,-0.0022861039663708825,0.00083667510728730485,-9.2035882418530168e-05,-0.00051644006444070023,0.0003319669855255899,True,False,NOT SIGNIFICANT,
E1c - D2rescaled,E1c,D2_rescaled,fold 1 (2022-2023),380,0.00086204433547594581,-0.00073350200128836104,0.0024364552721368774,0.00027074692621881105,-0.00028378103802915105,0.00082100988725834941,True,False,NOT SIGNIFICANT,1
E1c - D2rescaled,E1c,D2_rescaled,fold 2 (2023-2024),380,0.00010729500474635822,-0.00057599580460217985,0.00084973357986055115,9.5640049674076022e-05,-0.00010930755507428753,0.00030751047546948484,True,False,NOT SIGNIFICANT,2
E1c - D2rescaled,E1c,D2_rescaled,fold 3 (2024-2025),380,-0.001522299130974471,-0.0054240154929241094,0.0023687290168360065,-0.00054783041897894292,-0.0015966823152281573,0.00050613076811663077,True,False,NOT SIGNIFICANT,3
E1c - D2rescaled,E1c,D2_rescaled,fold 4 (2025-2026),380,-0.0023348527447950521,-0.0067975995648848616,0.0021121619638184074,-0.0001867000865880648,-0.0013976510172002794,0.0010357034413422421,True,False,NOT SIGNIFICANT,4
E1c - E1b,E1c,E1b,pooled,1520,0.0019813295675592825,7.447793856316779e-05,0.0038936502079611329,0.00068634608607537958,0.00012331271672833514,0.0012411641472938402,True,True,SIGNIFICANT,
E1c - E1b,E1c,E1b,fold 1 (2022-2023),380,0.0021226667437878968,-0.00087298538206843121,0.0051279197956781656,0.00062014941879192579,-0.0004559314698677805,0.001693248932441449,True,False,NOT SIGNIFICANT,1
E1c - E1b,E1c,E1b,fold 2 (2023-2024),380,0.0057906812745744142,0.0028792018184447816,0.0087164479481119973,0.0016890956154279797,0.0008194460519367954,0.0025511916923120453,True,True,SIGNIFICANT,2
E1c - E1b,E1c,E1b,fold 3 (2024-2025),380,-0.00031727573861112479,-0.0048473332976926879,0.0040333307564682716,0.00030045934751210741,-0.00088370284651939233,0.0015052383486119014,False,False,INCONCLUSIVE (sign disagreement),3
E1c - E1b,E1c,E1b,fold 4 (2025-2026),380,0.00032924599048594406,-0.0042160457906503645,0.0048050367251674412,0.00013567996256950513,-0.0011638660985436964,0.0014150475331189051,True,False,NOT SIGNIFICANT,4
E1c - E1a,E1c,E1a_sot,pooled,1520,0.018317742498257215,0.0055202355755937776,0.03110560201733939,0.0051968164496230835,0.0012899633378277893,0.0091462892318661931,True,True,SIGNIFICANT,
E1c - E1a,E1c,E1a_sot,fold 1 (2022-2023),380,0.009693227944839438,-0.017964685966318471,0.036493987511160092,0.0034856129451615696,-0.0053537894612203036,0.012199731491468413,True,False,NOT SIGNIFICANT,1
E1c - E1a,E1c,E1a_sot,fold 2 (2023-2024),380,0.02349592913687161,-0.00026097691634331059,0.046708616172548109,0.0073650693357155839,0.00019843288847703133,0.014475817171011948,True,False,NOT SIGNIFICANT,2
E1c - E1a,E1c,E1a_sot,fold 3 (2024-2025),380,0.025528691396306615,0.0013867310557997572,0.049879084227867444,0.0066965054369206717,-0.00043373097748631938,0.013891014741958254,True,True,SIGNIFICANT,3
