season,date,home_team,away_team,result,ll_market,ll_dc,ll_e1a,gap_dc,gap_e1a,gap_rps_dc,favourite_p,favourite_bin,matchweek,matchweek_bucket,promoted_detail,market_pick,favourite_correct
2024-2025,2025-03-08,Wolves,Everton,D,1.1451323043030028,1.2660688443220207,1.3208047664160902,0.12093654001901788,0.1756724621130874,0.017615222143797321,0.34090909090909088,0.00-0.40,28,MW 20-31,neither promoted,H,favourite did not
2023-2024,2023-11-04,Newcastle,Arsenal,H,1.0886866488681399,0.73140817257240121,0.87951113620623733,-0.35727847629573872,-0.2091755126619026,-0.096552246035760347,0.34912718204488774,0.00-0.40,11,MW 7-19,neither promoted,A,favourite did not
2022-2023,2023-02-18,Everton,Leeds United,H,1.0451236037171237,1.0500224222072336,1.022335458605478,0.0048988184901099796,-0.022788145111645619,0.0012835309246280735,0.35164835164835162,0.00-0.40,24,MW 20-31,neither promoted,H,favourite delivered
2023-2024,2023-12-02,Nottingham,Everton,A,1.0421313357307058,1.2554851181371698,0.88422874864384138,0.21335378240646397,-0.15790258708686444,0.10199107184453599,0.35270215359609908,0.00-0.40,14,MW 7-19,neither promoted,A,favourite delivered
2025-2026,2025-09-13,Everton,Aston Villa,D,1.180281674211523,1.2058353909605701,1.348978688182076,0.025553716749047162,0.16869701397055303,0.0068722460203176905,0.35270215359609908,0.00-0.40,4,MW 1-6,neither promoted,H,favourite did not
2024-2025,2024-12-14,Nottingham,Aston Villa,H,1.038709470682541,0.91363512508415667,0.94193630123545669,-0.12507434559838437,-0.096773169447084362,-0.037616079172692662,0.35391112004826059,0.00-0.40,16,MW 7-19,neither promoted,H,favourite delivered
2025-2026,2025-12-14,Nottingham,Tottenham,H,1.0360919316867756,1.1257687658348265,0.82490083260455449,0.089676834148050943,-0.21119109908222111,0.045996117554366445,0.35483870967741937,0.00-0.40,16,MW 7-19,neither promoted,H,favourite delivered
2022-2023,2022-11-12,Bournemouth,Everton,H,1.0524539857468409,1.050668678559441,0.91842721836525609,-0.0017853071873998871,-0.13402676738158481,-0.0048424654650913723,0.35554450522128295,0.00-0.40,16,MW 7-19,home promoted,A,favourite did not
2025-2026,2026-03-15,Crystal Palace,Leeds United,D,1.219508070410007,1.2461235526490511,1.2317339976152495,0.026615482239044086,0.012225927205242515,0.0042949432772519669,0.35554450522128295,0.00-0.40,30,MW 20-31,away promoted,H,favourite did not
2024-2025,2024-11-02,Southampton,Everton,H,1.032910698265231,1.5446769661243898,1.1113724434429224,0.5117662678591588,0.078461745177691444,0.15139578186521985,0.35596933187294633,0.00-0.40,10,MW 7-19,home promoted,H,favourite delivered
2022-2023,2023-04-15,Southampton,Crystal Palace,A,1.0326390470548783,0.79785561784976411,1.2332148332652519,-0.23478342920511419,0.20057578621037364,-0.077495617626648361,0.35606604450825552,0.00-0.40,31,MW 20-31,neither promoted,A,favourite delivered
2022-2023,2023-01-21,Bournemouth,Nottingham,D,1.1957329351358374,1.2099884197586941,1.2004744049616001,0.01425548462285664,0.0047414698257626231,0.0014383405466216609,0.35653792266995676,0.00-0.40,21,MW 20-31,both promoted,A,favourite did not
2024-2025,2025-02-22,Everton,Manchester Utd,D,1.157620256108838,1.1114652750844485,1.225755007937759,-0.04615498102438953,0.068134751828921036,-0.00016245746422026419,0.35844078259570872,0.00-0.40,26,MW 20-31,neither promoted,H,favourite did not
2023-2024,2023-10-01,Nottingham,Brentford,D,1.157620256108838,1.485900066164298,1.4396843385405798,0.32827981005546003,0.28206408243174175,0.040529087332991987,0.35844078259570872,0.00-0.40,7,MW 7-19,neither promoted,H,favourite did not
