split,level,n,gap_dc,gap_dc_lo,gap_dc_hi,gap_e1a,gap_rps_dc,market_logloss,dc_logloss,e1a_logloss
favourite probability,0.00-0.40,202,0.026165657487334387,-0.0078916606744565618,0.059059511337362681,0.013238286417556772,0.0082091546629450111,1.0856821421913296,1.111847799678664,1.0989204286088865
favourite probability,0.40-0.50,492,0.03892848291931323,0.015030562279710794,0.064676735547739464,0.016437041224717321,0.011278678288383512,1.0697519668994506,1.1086804498187635,1.0861890081241676
favourite probability,0.50-0.60,378,0.020571548042684708,-0.0027912478735670071,0.043924820154231221,0.0072096438626895569,0.0071726527807834803,0.97985309360223294,1.0004246416449176,0.98706273746492257
favourite probability,0.60-0.70,258,0.012670937052674178,-0.014013088563493443,0.03923641102893085,0.022042499464531535,0.005059766870675584,0.87578817871377612,0.88845911576645031,0.89783067817830764
favourite probability,0.70-1.00,190,0.051566071751272639,0.017197433451055216,0.089408681591986353,0.064446224735629123,0.011382342194149391,0.62162091076627146,0.67318698251754394,0.68606713550190046
matchweek bucket,MW 20-31,480,0.024121265952852185,0.0057689648317324144,0.04234471509416559,0.0077468241973897107,0.0080839964375451281,0.97107352488199994,0.99519479083485218,0.97882034907938975
matchweek bucket,MW 7-19,520,0.029756221405062601,0.0087987413404358242,0.051399849631264691,0.018855841472246546,0.008222010564913498,0.97542145579317818,1.0051776771982408,0.99427729726542458
matchweek bucket,MW 1-6,240,0.04254959850344775,-0.000562408918708242,0.091394523407530542,0.035895369567038982,0.010260024910193651,0.93738199959904711,0.97993159810249464,0.97327736916608587
matchweek bucket,MW 32-38,280,0.028634394758504118,0.0048410152456854275,0.05212724045109194,0.033141961443636028,0.0098875600651259447,0.93487651468922928,0.9635109094477331,0.96801847613286507
season,2024-2025,380,0.0088944020965567479,-0.011560467386959622,0.029880413892558969,0.012385623282724741,0.0042238442692166733,0.96776868479685385,0.97666308689341041,0.98015430807957848
season,2023-2024,380,0.041760243367902183,0.017419394901747817,0.066195149726224228,0.036992791544322293,0.012449445098077688,0.89968373320170414,0.94144397656960643,0.93667652474602658
season,2022-2023,380,0.036270478378430837,0.010806932780507112,0.061981646481507557,0.022099646107962195,0.01037359012062611,0.96171300427412054,0.99798348265255121,0.98381265038208265
season,2025-2026,380,0.032235341844505529,0.0038958489035627215,0.062942900414612007,0.011201284013997911,0.0081812430922332674,1.0131281381814481,1.0453634800259535,1.0243294221954458
promoted involved,neither,1088,0.030220515780588285,0.017518818453767699,0.042627625553772593,0.013437632450920473,0.0091570267467654936,0.99054181570134148,1.0207623314819296,1.0039794481522619
promoted involved,promoted side,432,0.028706147666504988,-0.0011807661431633342,0.060763966952106126,0.038884275402826934,0.007925558981429548,0.8850973552997885,0.91380350296629353,0.92398163070261552
promoted detail,neither promoted,1088,0.030220515780588285,0.017920379477414684,0.042769172327245954,0.013437632450920473,0.0091570267467654936,0.99054181570134148,1.0207623314819296,1.0039794481522619
promoted detail,home promoted,204,0.0069581930331627682,-0.029022248632224513,0.04480759630464709,0.029251874903303686,0.0031900187056402591,0.93441254740158852,0.94137074043475111,0.96366442230489213
promoted detail,away promoted,204,0.037223089487371734,-0.0028839932390258556,0.079324720738995311,0.055170051899951875,0.010248545990116095,0.81129527271821256,0.84851836220558452,0.86646532461816461
promoted detail,both promoted,24,0.14116975657254652,-0.10140443158927404,0.47168740458534675,-0.017669420576787435,0.028432261751802856,1.0932359243778846,1.2344056809504313,1.0755665038010973
actual outcome,D,366,0.048737563530335204,0.028595223867170193,0.069815787725239137,0.0073480599515627666,0.0095513181721525297,1.4206562740462194,1.4693938375765547,1.4280043339977819
actual outcome,H,676,0.038690478025535241,0.019476928194510894,0.059242776149055307,0.034372743458960055,0.014124307670976334,0.70735655657705032,0.74604703460258548,0.74172930003601023
actual outcome,A,478,0.002695116242355031,-0.020871014714740649,0.025665470474282748,0.011491185272162637,0.00071730574031504918,0.96639816825432179,0.96909328449667687,0.97788935352648454
market pick,H,958,0.036221686157886762,0.020520025638239715,0.052231291606011643,0.020879637841100397,0.010081493249781566,0.93927730708084767,0.97549899323873435,0.96015694492194814
market pick,A,562,0.018826693277499459,-0.0012264389031738452,0.039312265468592601,0.020312202898306989,0.0066345481266328818,0.99687525407316013,1.0157019473506597,1.0171874569714672
did the favourite deliver,favourite did not,682,0.018888626814524426,-0.001547945848290771,0.039202134477829192,-0.049995045475780708,0.00077103854223502819,1.4122782393553515,1.4311668661698762,1.3622831938795708
did the favourite deliver,favourite delivered,838,0.038662211782463665,0.023565123963312031,0.0546033796138434,0.078179918967905923,0.015347062404121878,0.59295679442985483,0.63161900621231859,0.67113671339776082
strong favourite (p>=0.60),favourite delivered,320,0.03392947158567923,0.016692892263259901,0.052654351363533115,0.12321669767362646,0.012384067293448372,0.34946659998892027,0.38339607157459954,0.47268329766254674
strong favourite (p>=0.60),favourite did not,128,0.017259566288393639,-0.04261054981288738,0.07947882692791175,-0.16794996635892032,-0.0038659114404749504,1.8143125871663384,1.831572153454732,1.6463626208074182
