comparison,left,right,scope,n,log_loss_delta,log_loss_ci_lo,log_loss_ci_hi,rps_delta,rps_ci_lo,rps_ci_hi,signs_agree,log_loss_ci_excludes_zero,verdict,fold
market - D4,market_B365C_proportional,D4,pooled,1520,-0.039176049282989532,-0.050405595951924793,-0.027871847613205981,-0.011496510953273526,-0.015050862934122089,-0.007917770053681385,True,True,SIGNIFICANT,
market - D4,market_B365C_proportional,D4,fold 1 (2022-2023),380,-0.031990896690704471,-0.058263914409874391,-0.0058553824209198694,-0.010683794850294333,-0.018995252930741058,-0.0024337601102132449,True,True,SIGNIFICANT,1
market - D4,market_B365C_proportional,D4,fold 2 (2023-2024),380,-0.05920156171013502,-0.080948536385030301,-0.036917888186253724,-0.018052827456377728,-0.025095294111460154,-0.010955899545951858,True,True,SIGNIFICANT,2
market - D4,market_B365C_proportional,D4,fold 3 (2024-2025),380,-0.039654830894472338,-0.059029738164635102,-0.020941520582108054,-0.011535895406164077,-0.017596489071828536,-0.0056108906078689708,True,True,SIGNIFICANT,3
market - D4,market_B365C_proportional,D4,fold 4 (2025-2026),380,-0.025856907836646296,-0.048458886676142301,-0.0036015514127999667,-0.0057135261002579634,-0.012831039220896654,0.0013129237050647483,True,True,SIGNIFICANT,4
market - D2rescaled,market_B365C_proportional,D2_rescaled,pooled,1520,-0.039709531869395805,-0.051062094939378411,-0.028381447961036907,-0.011765736023123518,-0.015314351050080043,-0.0081605225886253342,True,True,SIGNIFICANT,
market - D2rescaled,market_B365C_proportional,D2_rescaled,fold 1 (2022-2023),380,-0.030930829717325688,-0.056983259623980771,-0.0048563662963120322,-0.010208294780531332,-0.018505775143124643,-0.0020234245785273088,True,True,SIGNIFICANT,1
market - D2rescaled,market_B365C_proportional,D2_rescaled,fold 2 (2023-2024),380,-0.060381425676447546,-0.081490667125047364,-0.039109520565807632,-0.018607135417494421,-0.025518747047139363,-0.011630422046664866,True,True,SIGNIFICANT,2
market - D2rescaled,market_B365C_proportional,D2_rescaled,fold 3 (2024-2025),380,-0.039436613810005822,-0.059378480603463513,-0.019388378180332344,-0.011781468151757006,-0.018069978755480536,-0.0056178171139068629,True,True,SIGNIFICANT,3
market - D2rescaled,market_B365C_proportional,D2_rescaled,fold 4 (2025-2026),380,-0.028089258273804166,-0.05126461608639217,-0.0052214209274901889,-0.0064660457427113066,-0.013686863877450649,0.00063779466276529481,True,True,SIGNIFICANT,4
market - Elo v1,market_B365C_proportional,elo_v1,pooled,1520,-0.038857910711136034,-0.050373754982381974,-0.027545140619971608,-0.011978589422197625,-0.015544254511584256,-0.0083998362172985463,True,True,SIGNIFICANT,
market - Elo v1,market_B365C_proportional,elo_v1,fold 1 (2022-2023),380,-0.02334232108593369,-0.047252480748670528,0.0016882211073642704,-0.0073028092730721729,-0.014876259145867342,0.00041841964602844169,True,False,NOT SIGNIFICANT,1
market - Elo v1,market_B365C_proportional,elo_v1,fold 2 (2023-2024),380,-0.06816917405079205,-0.091463424112815495,-0.04424828829540893,-0.021916133799466983,-0.029367675380572715,-0.014431706245726827,True,True,SIGNIFICANT,2
market - Elo v1,market_B365C_proportional,elo_v1,fold 3 (2024-2025),380,-0.042014000688072962,-0.061962730238836687,-0.021777938984197373,-0.013095830939943053,-0.019266255502299472,-0.0068561472970110277,True,True,SIGNIFICANT,3
market - Elo v1,market_B365C_proportional,elo_v1,fold 4 (2025-2026),380,-0.021906147019745446,-0.043126308245184604,-0.00075169206273695331,-0.0055995836763082854,-0.012397982287506649,0.0010808332918788592,True,True,SIGNIFICANT,4
market - DixonColes,market_B365C_proportional,dc_walkforward,pooled,1520,-0.029790116421848822,-0.042292625009805115,-0.017594342262515387,-0.0088070306450384363,-0.012501635307712715,-0.0051705709195248722,True,True,SIGNIFICANT,
market - DixonColes,market_B365C_proportional,dc_walkforward,fold 1 (2022-2023),380,-0.036270478378430837,-0.061833008258597146,-0.010896111975659085,-0.01037359012062611,-0.017849544650250966,-0.0027920393319629672,True,True,SIGNIFICANT,1
market - DixonColes,market_B365C_proportional,dc_walkforward,fold 2 (2023-2024),380,-0.041760243367902176,-0.066269409865998705,-0.017808079939875304,-0.012449445098077688,-0.019527963092403407,-0.0055417204479483728,True,True,SIGNIFICANT,2
market - DixonColes,market_B365C_proportional,dc_walkforward,fold 3 (2024-2025),380,-0.0088944020965567496,-0.030405037589530656,0.011859640630238043,-0.004223844269216675,-0.011159290106514539,0.0023399402096617107,True,False,NOT SIGNIFICANT,3
market - DixonColes,market_B365C_proportional,dc_walkforward,fold 4 (2025-2026),380,-0.032235341844505529,-0.062127325657750275,-0.0049684296671835687,-0.0081812430922332674,-0.016255566719341308,-0.00043240223154134098,True,True,SIGNIFICANT,4
market - D0,market_B365C_proportional,D0,pooled,1520,-0.10831411379031382,-0.12805800204972781,-0.088913929341721473,-0.037159380612719645,-0.043881541909206616,-0.030606297620126153,True,True,SIGNIFICANT,
market - D0,market_B365C_proportional,D0,fold 1 (2022-2023),380,-0.092937480331914873,-0.13227774735489814,-0.052851081984507893,-0.032651760735686881,-0.045760432081777144,-0.019407357996340829,True,True,SIGNIFICANT,1
market - D0,market_B365C_proportional,D0,fold 2 (2023-2024),380,-0.1540726495154624,-0.19483265887284346,-0.11148454568901577,-0.053307204503246775,-0.06719416963199018,-0.039026177028125331,True,True,SIGNIFICANT,2
market - D0,market_B365C_proportional,D0,fold 3 (2024-2025),380,-0.11487158681009602,-0.15326548107739757,-0.075941079163857256,-0.039540292235961137,-0.052691011453063367,-0.026414682950359755,True,True,SIGNIFICANT,3
market - D0,market_B365C_proportional,D0,fold 4 (2025-2026),380,-0.071374738503782023,-0.10619116797595643,-0.037055397603859376,-0.023138264975983786,-0.035026851840479753,-0.011575888600850459,True,True,SIGNIFICANT,4
