model,fold,test_season,n,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps
D0,1,2022-2023,380,0.48421052631578948,0.33333333333333331,0.21749408983451538,1.0546504846060354,0.63667590027700816,0.23006925207756235
D0,2,2023-2024,380,0.46052631578947367,0.33333333333333331,0.21021021021021022,1.0537563827171665,0.63691481994459831,0.23374047783933519
D0,3,2024-2025,380,0.40789473684210525,0.33333333333333331,0.19314641744548286,1.0826402716069496,0.65687596183441055,0.23583140966451213
D0,4,2025-2026,380,0.4263157894736842,0.33333333333333331,0.19926199261992619,1.08450287668523,0.65619373268698056,0.22776359072022156
D2_rescaled,1,2022-2023,380,0.5368421052631579,0.43438372556840843,0.37992137650382252,0.99264383399144629,0.59126579905157695,0.20762578612240679
D2_rescaled,2,2023-2024,380,0.57105263157894737,0.46648083623693387,0.41340945409720969,0.9600651588781518,0.56785261444207036,0.19904040875358286
D2_rescaled,3,2024-2025,380,0.50789473684210529,0.43903551645487132,0.37577425579703272,1.0072052986068598,0.60353057587454673,0.208072585580308
D2_rescaled,4,2025-2026,380,0.48421052631578948,0.42451808533679875,0.35827369334200826,1.041217396455252,0.62516632199202016,0.21109137148694915
D3,1,2022-2023,380,0.53421052631578947,0.43257213136550993,0.37826401209015043,0.99370390096482486,0.59218986056369949,0.20810128619216978
D3,2,2023-2024,380,0.57105263157894737,0.46567557104142471,0.41287675435232768,0.95905735570772876,0.56711987280067722,0.19875168677161151
D3,3,2024-2025,380,0.5,0.4325839035516455,0.3704907704907705,1.009283676441876,0.60434372025965555,0.20813505367338575
D3,4,2025-2026,380,0.47894736842105262,0.41867013212042453,0.35283391168265638,1.0429534919239847,0.62658734868092014,0.21147394238027703
D4,1,2022-2023,380,0.53421052631578947,0.43257213136550993,0.37826401209015043,0.99370390096482508,0.59218986056369949,0.20810128619216978
D4,2,2023-2024,380,0.56578947368421051,0.46106078203639184,0.40906004586391997,0.95888529491183927,0.56660460070963081,0.19848610079246615
D4,3,2024-2025,380,0.50789473684210529,0.43828608667318347,0.37394819545823194,1.007423515691326,0.60287221190173312,0.20782701283471511
D4,4,2025-2026,380,0.5,0.43859649122807021,0.37088928204970872,1.0389850460180943,0.62341708993130862,0.21033885184449577
elo_v1,1,2022-2023,380,0.55000000000000004,0.44219518681026465,0.3881249788429641,0.98505532536005436,0.5857152757679247,0.20472030061494761
elo_v1,2,2023-2024,380,0.56315789473684208,0.4567402245451026,0.40351890351890346,0.96785290725249618,0.57300079761761635,0.20234940713555544
elo_v1,3,2024-2025,380,0.53157894736842104,0.45876507005539269,0.39396532166585646,1.0097826854849266,0.6037442172159061,0.20938694836849409
elo_v1,4,2025-2026,380,0.49736842105263157,0.42960797054364308,0.36079935847843519,1.0350342852011936,0.6207335913508687,0.21022490942054609
poisson_walkforward,1,2022-2023,380,0.52631578947368418,0.43461640739263396,0.37940379403794039,0.9952021734370039,0.59382754935948401,0.20764467597116082
poisson_walkforward,2,2023-2024,380,0.58157894736842108,0.48295780100658153,0.42615621240501317,0.94300962805081101,0.55498423850404877,0.19302649179060835
poisson_walkforward,3,2024-2025,380,0.53157894736842104,0.46550993809058322,0.40097217912917577,0.97743002707446425,0.58446015027796905,0.20061919948720286
poisson_walkforward,4,2025-2026,380,0.46842105263157896,0.41650422352176736,0.35154291979949875,1.0460197473557142,0.62666024837995948,0.21289712477885245
dc_walkforward,1,2022-2023,380,0.52631578947368418,0.43461640739263396,0.37876743139901031,0.99798348265255155,0.59470598230752847,0.20779108146250158
