model,n,accuracy,balanced_accuracy,macro_f1,log_loss,brier_score,rps
market_AvgC_shin,1520,0.5513157894736842,0.47285698959339123,0.40973386085337232,0.96000889669484768,0.57017430874491337,0.19466746568398763
market_B365C_shin,1520,0.5513157894736842,0.47244848274780687,0.40947964723974523,0.96010960842920767,0.57005406091358868,0.1945929287218621
market_AvgC_proportional,1520,0.5513157894736842,0.47285698959339123,0.40973386085337232,0.96031019546339036,0.57021538526416538,0.19471638324672147
market_B365C_proportional,1520,0.5513157894736842,0.47244848274780687,0.40947964723974523,0.9605733901135316,0.57019433686453214,0.19469180196268818
dc_walkforward,1520,0.52631578947368418,0.45106465898754067,0.3917350023174469,0.99036350653538052,0.58969480423498832,0.20349883260772664
poisson_walkforward,1520,0.52697368421052626,0.45134435889183228,0.3907064937497074,0.99041539397949829,0.58998304663036538,0.20354687300695612
elo_v1,1520,0.53552631578947374,0.44713343731689403,0.38741396263520161,0.99943130082466769,0.59579847048807899,0.20667039138488577
D4,1520,0.52697368421052626,0.44256146171176747,0.38332530599637993,0.99974943939652117,0.59627094077659304,0.20618831291596168
D2_rescaled,1520,0.52500000000000002,0.44149067861652352,0.38239286406825673,1.0002829219829275,0.59695382784005346,0.20645753798581171
D3,1520,0.52105263157894732,0.43791933846649006,0.37917865210537438,1.0012496062596037,0.59756020057623804,0.20661549225436102
D1,1520,0.52302631578947367,0.43939862840731841,0.38051776773720847,1.0039286603133988,0.59940978975174852,0.20768661472157898
D0,1520,0.44473684210526315,0.33333333333333331,0.20522161505768063,1.0688875039038455,0.64666510368574937,0.23185118257540779
