model,scope,class,bin,bin_lo,bin_hi,n,mean_predicted,observed_frequency,thin
D0,pooled,H,0,0,0.10000000000000001,0,,,True
D0,pooled,H,1,0.10000000000000001,0.20000000000000001,0,,,True
D0,pooled,H,2,0.20000000000000001,0.29999999999999999,0,,,True
D0,pooled,H,3,0.29999999999999999,0.40000000000000002,0,,,True
D0,pooled,H,4,0.40000000000000002,0.5,1520,0.44720394736842106,0.44473684210526315,False
D0,pooled,H,5,0.5,0.59999999999999998,0,,,True
D0,pooled,H,6,0.59999999999999998,0.69999999999999996,0,,,True
D0,pooled,H,7,0.69999999999999996,0.80000000000000004,0,,,True
D0,pooled,H,8,0.80000000000000004,0.90000000000000002,0,,,True
D0,pooled,H,9,0.90000000000000002,1,0,,,True
D0,pooled,D,0,0,0.10000000000000001,0,,,True
D0,pooled,D,1,0.10000000000000001,0.20000000000000001,0,,,True
D0,pooled,D,2,0.20000000000000001,0.29999999999999999,1520,0.22938596491228064,0.24078947368421053,False
D0,pooled,D,3,0.29999999999999999,0.40000000000000002,0,,,True
D0,pooled,D,4,0.40000000000000002,0.5,0,,,True
D0,pooled,D,5,0.5,0.59999999999999998,0,,,True
D0,pooled,D,6,0.59999999999999998,0.69999999999999996,0,,,True
D0,pooled,D,7,0.69999999999999996,0.80000000000000004,0,,,True
D0,pooled,D,8,0.80000000000000004,0.90000000000000002,0,,,True
D0,pooled,D,9,0.90000000000000002,1,0,,,True
D0,pooled,A,0,0,0.10000000000000001,0,,,True
D0,pooled,A,1,0.10000000000000001,0.20000000000000001,0,,,True
D0,pooled,A,2,0.20000000000000001,0.29999999999999999,0,,,True
D0,pooled,A,3,0.29999999999999999,0.40000000000000002,1520,0.32341008771929819,0.31447368421052629,False
D0,pooled,A,4,0.40000000000000002,0.5,0,,,True
D0,pooled,A,5,0.5,0.59999999999999998,0,,,True
D0,pooled,A,6,0.59999999999999998,0.69999999999999996,0,,,True
D0,pooled,A,7,0.69999999999999996,0.80000000000000004,0,,,True
D0,pooled,A,8,0.80000000000000004,0.90000000000000002,0,,,True
D0,pooled,A,9,0.90000000000000002,1,0,,,True
D0,pooled,pooled,0,0,0.10000000000000001,0,,,True
D0,pooled,pooled,1,0.10000000000000001,0.20000000000000001,0,,,True
D0,pooled,pooled,2,0.20000000000000001,0.29999999999999999,1520,0.22938596491228064,0.24078947368421053,False
D0,pooled,pooled,3,0.29999999999999999,0.40000000000000002,1520,0.32341008771929819,0.31447368421052629,False
